EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010564885,VALDEZ JUNIOR RIFLE CLUB,% RAYMOND J HALLEY,PO BOX 3008,VALDEZ,AK,99686-3008,0000,03,3,1200,200305,1,15,000000000,5,01,201212,0,0,02,0,12,0,0,0,N99,
010578824,HALIES HOPE ORGANIZATION INC,,1541 W TUDOR RD,ANCHORAGE,AK,99503-6402,0000,03,3,1000,200205,1,15,000000000,1,01,201206,0,0,02,0,06,0,0,0,H30,
010604986,PEER PROPERTIES AN ALASKAN NON-PROFIT CORPORATION,% JON WATKINS,4020 FOLKER ST,ANCHORAGE,AK,99508-5321,0000,03,3,1000,200207,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,L20,
010639455,PAVVA INUPIAQ DANCERS,% CHARLES SEAN TOPKOK,4783 DRAKE ST,FAIRBANKS,AK,99709-3009,0000,03,3,2000,200502,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,A84,
010692933,REAL LIFE FOUNDATION,% JACK MINNERY,470 DAILEY B3,ANCHORAGE,AK,99515-3458,0000,03,3,1000,200403,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,P60,
010704433,ALASKA MOBILITY COALITION,% KRISTIN LAMBERT,3705 ARCTIC BLVD,ANCHORAGE,AK,99503-5774,0000,03,3,1000,200209,1,15,000000000,1,01,201306,3,4,01,0,06,25999,292399,292399,W01,
010718551,CHURCH OF CHRIST AT WASILLA INC,% EDDIE MAXWELL,2630 N JASPER DR,WASILLA,AK,99654-3400,0000,03,3,7000,200304,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010794721,TIKIGAQMIUT INCORPORATED,% DAVID STONE SR,1745 QALGI AVE,POINT HOPE,AK,99766-0000,0000,03,3,1000,200405,1,15,000000000,1,01,201306,6,1,02,0,06,2876838,7316,7316,L22,
010803059,VETERANS OF FOREIGN WARS DEPARTMENT OF ALASKA,% GEORGE W FRIGON,PO BOX 770266,EAGLE RIVER,AK,99577-0266,1733,04,9,3000,196504,0,00,000000000,5,01,201106,0,0,02,0,06,0,0,0,,9785 MENS AUXILIARY POST
010828753,LADY WOLVERINES SOCCER BOOSTER CLUB,% KEELY A JELINEK,15631 STANWOOD CIR,ANCHORAGE,AK,99516-4867,0000,03,3,1000,200509,1,15,000000000,5,01,201312,0,0,02,0,12,0,0,0,B112,
010829469,MIR PARENTS,% MEG KIBLER,3500 W NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99517-1109,0000,03,3,1000,200510,1,15,000000000,0,01,201306,2,2,02,0,06,23182,19551,17255,A23,
010839728,SOUTHEAST ISLAND YOUTH ADVOCATES,% JIM NYGAARD,PO BOX 19569,THORNE BAY,AK,99919-0569,0000,03,3,1000,200609,1,15,000000000,1,01,201112,0,0,02,0,12,0,0,0,B12,SEIYA
010856925,UNITED STATES BOWLING CONGRESS INC,% MARGUERITE DOWLING,2021 W BAILEY AVE,WASILLA,AK,99654-7902,4348,03,9,1000,200409,1,16,000000000,1,01,201307,0,0,02,0,07,0,0,0,N70,82323 MAT-SU VALLEY USBC
010867530,MAT-SU MARTIN LUTHER KING JR FOUNDATION INC,% KIM MARIE WALKER,PO BOX 875754,WASILLA,AK,99687-5754,0000,03,3,1200,200701,1,15,000000000,1,01,201312,1,1,02,0,12,2053,3874,3874,B82,
010883680,THIS GENERATION MINISTRIES INC,,550 BEAVER BLVD,NORTH POLE,AK,99705-7650,0000,03,3,1700,200807,1,15,000000000,1,01,201212,4,4,01,0,12,104787,174119,170435,X20,
010896224,AMERICAN LEGION AUXILIARY,% MARGARET BLANKENSHIP,1467 MULDOON RD,ANCHORAGE,AK,99504-2801,0964,19,9,1000,194610,2,00,319907000,5,01,201304,0,0,02,0,04,0,0,0,,29 MULDOON
010897800,CROSSCOUNTRY CHURCH,% MICHAEL BALOS,PO BOX 874376,WASILLA,AK,99687-4376,1610,03,9,7000,196312,1,10,001002000,5,01,,0,0,06,0,12,,,,,
010898666,ALASKA WRITERS GUILD,% JAMES MISKO,PO BOX 670014,CHUGIAK,AK,99567-0014,0000,03,3,1000,201010,1,03,000000000,1,01,201312,1,3,00,1,12,7811,33234,,B99,
010918184,INDEPENDENT YOUTH SWIMMERS INC,% BRADLEY HARRIS,3401 DENALI ST STE 204,ANCHORAGE,AK,99503-4001,0000,03,3,1000,200906,1,16,000000000,1,01,201312,1,3,02,0,12,3575,41919,41919,N60,
010930462,MAT-SU COMMUNITY CHORUS,% NAN POTTS,14776 E KNIK VIEW DR,PALMER,AK,99645-8562,0000,03,3,1200,201008,1,15,000000000,1,01,201306,0,0,02,0,06,0,0,0,A6B,
010951115,ALASKA LONGLINE FISHERMENS ASSOCIATION,% LINDA E BEHNKEN,PO BOX 1229,SITKA,AK,99835-1229,0000,06,3,1000,201004,2,00,000000000,1,01,201312,4,4,01,0,12,245267,325613,324437,S41,
010968080,ST CATHERINE OF SIENA CUF CHAPTER INC,% JON AGOSTI,PO BOX 220106,ANCHORAGE,AK,99522-0106,0000,03,3,1000,201102,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,X20,ST CATHERINE OF SIENA CUF CHAPTER
010970450,SMITH MEMORIAL FOUNDATION,% RONALD E SMITH,8000 KING ST,ANCHORAGE,AK,99518-3060,0000,03,3,1000,201109,1,16,000000000,1,01,201312,3,3,02,0,12,26166,44619,22260,T12,
020039074,SITKA CHURCH OF THE NAZARENE,,305 LAKE ST,SITKA,AK,99835-7564,1588,03,9,7000,196307,1,10,001000000,5,01,,0,0,06,0,12,,,,,
020631232,TOASTMASTERS INTERNATIONAL,% LUCY TYRRELL,PO BOX 224,HEALY,AK,99743-0224,0820,03,9,2000,194505,1,16,059319000,1,01,201312,0,0,02,0,12,0,0,0,,8961 DENALI STARS OF GOLD TOASTMAST
020670147,JESUS IS LORD,% JOE TAVAI,1023 ERMINE ST,ANCHORAGE,AK,99504-1837,2358,03,9,7000,197210,1,10,001000000,5,01,,0,0,06,0,08,,,,,13210
020679834,ALASKA STATE FARRIERS ASSOCIATION INC,% HEIDI S LARRABEE,PO BOX 4691,PALMER,AK,99645-4691,0000,03,3,2000,201408,1,15,000000000,1,01,,0,0,02,0,06,,,,B99,
020713689,SALMON CREEK HOUSING INC,% PATRICK MURPHY,3406 GLACIER HWY STE A,JUNEAU,AK,99801-7251,0000,03,3,1000,200406,1,15,000000000,1,01,201306,5,3,01,0,06,798864,93335,93335,P73,
020726210,GRAND IGLOO FOUNDATION INC,% SHAWNEEN CONOVER,2721 CUTWATER CIR,ANCHORAGE,AK,99516-3471,0000,03,3,2000,200412,1,15,000000000,1,01,201307,0,0,02,0,07,0,0,0,A80,
020736815,TUPQICH ELDER APARTMENTS INC,% CHRISTINA WESTLAKE,480 W TUDOR RD,ANCHORAGE,AK,99503-6614,0000,03,3,1200,200511,1,15,000000000,1,01,201309,6,3,01,0,09,2139440,69148,69148,L222,
020761263,GATEWAY CHRISTIAN FELLOWSHIP,% JOHN MOROPOULOS,9191 E FRONTAGE RD,PALMER,AK,99645-9318,0000,03,3,7000,200906,1,10,000000000,1,01,201312,0,0,06,0,12,,,,X20,
020791272,ALASKA TRIATHLON CLUB,,PO BOX 231235,ANCHORAGE,AK,99523-1235,0000,03,3,2000,201004,1,16,000000000,1,01,201312,0,0,02,0,12,0,0,0,N60,
020802571,STRELNA VOLUNTEER FIRE DEPARTMENT,% CARRIE HALE,PO BOX 73,CHITINA,AK,99566-0073,0000,03,3,1000,200806,1,15,000000000,1,01,201312,4,3,01,0,12,242151,80299,80299,M20,
020810196,ST LUKE LUTHERAN CHURCH,,PO BOX 1404,KENAI,AK,99611-1404,0000,03,3,7000,200907,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
030382080,ALASKA VETERANS MUSEUM,,334 W 4TH AVENUE 227,ANCHORAGE,AK,99501-0000,0000,03,3,1000,200203,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,A54,
030393565,FAIRBANKS ADULT AMATEUR BASEBALL LEAGUE,% PHIL PRAX PRESIDENT,PO BOX 72825,FAIRBANKS,AK,99707-2825,0000,04,3,3000,200304,2,00,000000000,5,01,201312,2,5,01,0,12,16475,759746,65211,N50,
030400265,MEDALLION FOUNDATION INC,,1520 N POST RD,ANCHORAGE,AK,99501-1710,0000,03,3,2000,200302,1,15,000000000,1,01,201212,6,6,01,0,12,2122087,1398910,1398910,B99,
030425229,TENAKEE HISTORICAL COLLECTION,% VICKI WISENBAUGH,PO BOX 633,TENAKEE SPGS,AK,99841-0633,0000,03,3,1000,200411,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,,
030487911,ECP FORUM INC,% JAMES VOORHEES SOLE MBR,4620 EMERALD CIR,ANCHORAGE,AK,99502-5120,0000,06,3,1000,200809,2,00,000000000,1,01,201312,3,4,01,0,12,39339,147018,147018,S41,
030501084,GRACE AND TRUTH COMMUNITY CHURCH ANCHORAGE ALASKA A CONGREGATION OF,,PO BOX 110456,ANCHORAGE,AK,99511-0456,4128,03,9,7000,195906,1,10,001000000,1,01,,0,0,06,0,12,,,,,GRACE COMMUNION INTERNATIONAL
030552932,POLYNESIAN ASSOCIATION OF ALASKA INC,% NA,8060 COUNTRY WOODS DR,ANCHORAGE,AK,99502-4616,0000,03,3,1200,200606,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,P84,
030614785,FAIRBANKS POOL ASSOCIATION,% JAN M BERGLIN,PO BOX 73825,FAIRBANKS,AK,99707-3825,0000,04,3,1000,201307,2,00,000000000,1,01,201312,3,4,01,0,12,38883,118784,67186,N50,
030615052,VALLEY SKILL CENTER INC,% BRIDGET CHANCE,PO BOX 870442,WASILLA,AK,99687-0442,0000,03,3,1200,201105,1,15,000000000,1,01,201307,0,0,02,0,07,0,0,0,B28,
043626498,ALASKA RAILROAD AMERICAN TRAIN DISPATCHERS DIVISION UNION,% STEPHEN KESTER,4012 BALCHEN DR,ANCHORAGE,AK,99517-2447,0000,05,3,3000,201404,2,00,000000000,5,01,,0,0,02,0,07,,,,J40,
043646092,HOSPICE OF WRANGELL,% JUDITH ANN BAKER,PO BOX 894,WRANGELL,AK,99929-0894,0000,03,3,1200,200303,1,15,000000000,1,01,201212,0,0,02,0,12,0,0,0,P74,
