EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010520599,BLUE KNIGHTS MOTORCYCLE CLUB,% C/O DOUG LAMPLUGH,216 HEATHER LN,FAIRHOPE,AL,36532-7105,0000,10,3,1000,201402,2,00,000000000,5,01,201312,0,0,02,0,12,0,0,0,Y42,AL II
010550415,NEW HOPE OUTREACH MINISTRIES,% HILDA HENDERSON,1000 HENDERSON RD NW,HUNTSVILLE,AL,35816-3512,0000,03,3,7000,200608,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010552873,MARK HOWARD CEMETERY,% THOMAS HOWARD,306 POPLAR ST,PRATTVILLE,AL,36066-5353,0000,13,3,1000,200206,1,00,000000000,1,01,201312,0,0,02,0,12,0,0,0,Y50,
010553690,THURBER FAMILY FOUNDATION INC,% ELEANOR B THURBER,2414 COVEMONT DR SE,HUNTSVILLE,AL,35801-2259,0000,03,3,1000,200210,1,04,000000000,1,01,201312,6,4,00,1,12,1007268,399465,,T22,
010553749,TARRANT EDUCATION FOUNDATION,% WAYNE HOBSON,PO BOX 170745,BIRMINGHAM,AL,35217-0745,0000,03,3,1000,200204,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,B112,
010553804,HARRIS BARRETT SCHOOL INC,% MEMPHIS BOSTON,1755 COUNTY ROAD 27,TUSKEGEE,AL,36083-3600,0000,03,3,2000,200605,1,15,000000000,1,01,201309,0,0,02,0,09,0,0,0,A80,
010554023,FAIRHOPE CAT COALITION INC,% GLENDA B TURNER,104 ASHTON CT,FAIRHOPE,AL,36532-3334,0000,03,3,1000,200204,1,16,000000000,1,01,201212,4,4,01,0,12,152995,110875,106033,D20,
010554678,RESTORING HOPE MINISTRIES,% LAWRENCE JACKSON,1424 ROLLING RIDGE CIR,PLEASANT GRV,AL,35127-3530,0000,03,3,1700,200209,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010569248,GREG CROWE MINISTRIES INC,,14042 PHARES HINTON RD,TUSCALOOSA,AL,35405-9587,0000,03,3,7000,200207,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,X21,
010573502,COMMUNITY EMPOWERMENT DEVELOPMENT INC,% EFFELL WILLIAMS,PO BOX 969,SELMA,AL,36702-0969,0000,03,3,1200,200209,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,O50,
010588717,MARSHALL COUNTY EDUCATION FOUNDATION,% RENEE TERRELL,12380 US HIGHWAY 431,GUNTERSVILLE,AL,35976-9351,0000,03,3,1000,200308,1,15,000000000,1,01,201212,0,0,02,0,12,0,0,0,B112,
010602039,ALABAMA COUNCIL OF ASSOCIATION WORKERS COMPENSATION SELF INSURERS,% RUSSELL DAVIS,7515 HALCYON SUMMIT DR STE 200,MONTGOMERY,AL,36117-7017,0000,06,3,1000,200406,2,00,000000000,5,01,201312,0,0,02,0,12,0,0,0,Y99,
010603338,LIVING WATERS TABERNACLE,% WILLIAMS RICKY,220 BARTON ST,ANDALUSIA,AL,36420-2610,0000,03,3,7000,200310,1,10,000000000,1,01,,0,0,06,0,12,,,,X99,
010603764,GLORIOUS CHANGES CHURCH,% EARL WOOD,PO BOX 83,PHENIX CITY,AL,36868-0083,0000,03,3,7000,200306,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010605439,BAMA BOMBERS BASEBALL INC,% GREGORY A LEGG,PO BOX 219,ELKMONT,AL,35620-0219,0000,03,3,1200,200204,1,16,000000000,1,01,201212,1,3,02,0,12,1011,27182,6322,N63,
010606750,ALABAMA COMMUNITIES OF EXCELLENCE,% SIDNEY HOOVER,1854 LAKE RIDGE RD,BIRMINGHAM,AL,35216-1638,0000,03,3,1000,200302,1,15,000000000,1,01,201312,3,3,01,0,12,97220,64469,64469,S30,
010612977,E-MIN GLOBAL MINISTRIES INC,,PO BOX 559,HAYDEN,AL,35079-0559,0000,03,3,7000,200308,1,15,000000000,1,01,201212,3,3,02,0,12,47779,68260,68260,X20,VAUGHN G RANDALL
010614980,HEALING WATER CHURCH,% PAS GARY & MARGARE STALLINGS,2415 CARTERS GIN RD,TONEY,AL,35773-9730,3317,03,9,7000,199112,1,10,000000000,1,01,,0,0,06,0,12,,,,,
010620454,J BRUCE & ROSE W BEVERIDGE FOUNDATION,% HAMILTON C SMITH,2410 HAND AVE,BAY MINETTE,AL,36507-4121,0000,03,3,1000,200401,1,04,000000000,2,01,201212,6,6,00,1,12,1607240,1075320,,T22,
010633374,NATIONAL SOCIETY OF BLACK ENGINEERS,% MARTIN BEEMAN,PO BOX 210176,MONTGOMERY,AL,36121-0176,8275,03,9,1200,198801,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,,2318 MONTGOMERY PROFESSIONALS
010633818,UNITED CHRISTIAN OUTREACH GERMANY INC,% PAUL KIEFFER,3555 WOOLEY RD,MOBILE,AL,36693-5255,0000,03,3,1700,200209,1,15,000000000,1,01,201312,3,3,01,0,12,28296,58698,58698,X20,
