EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010359130,ETERNITY BAPTIST CHURCH,,RR 3 BOX 289,MALVERY,AR,72104-9535,0000,03,3,0000,197903,1,10,001000000,5,01,,0,0,06,0,06,,,,,
010554252,JUNETEENTH PLANNING COMMISSION INC,% LAWRENCE WOOD JR,PO BOX 8083,FORT SMITH,AR,72902-8083,0000,03,3,2000,200304,1,15,000000000,1,01,201112,1,3,02,0,12,1920,33356,0,A20,
010556416,NURSING HOME GIFT FUND OF FAULKNER COUNTY INC,% ANGELA HILL,801 LOCUST ST,CONWAY,AR,72034-5330,0000,03,3,1000,200208,1,16,000000000,1,01,201312,0,0,02,0,12,0,0,0,P58,
010570543,EAST ARKANSAS ENTERPRISE COMMUNITY,,PO BOX 2212,FORREST CITY,AR,72336-2212,0000,03,3,1000,200303,1,15,000000000,1,01,201212,5,6,01,0,12,925771,1134981,1134981,S20,
010574268,PLEASANT VALLY MENNONITE SCHOOL,% CHRIS GEARIG,3655 HIGHWAY 360,BRADLEY,AR,71826-8889,1971,03,9,7000,196908,1,10,059150001,5,01,,0,0,06,0,01,,,,,
010580490,FRATERNAL ORDER OF POLICE,% CHARLES CARTY,PO BOX 2122,BENTON,AR,72018-2122,1199,08,9,1000,195210,1,00,000000000,5,01,201212,3,3,02,0,12,28552,41367,41367,,63 BENTON MUNICIPAL FOP
010608788,SOCIETY OF PROFESSIONAL JOURNALISTS,% KEVIN KINDER,122 W MEADOW ST APT 11,FAYETTEVILLE,AR,72701-5231,0423,06,9,2000,194105,2,00,000000000,5,01,201307,0,0,02,0,07,0,0,0,,NORTHWEST ARKANSAS
010613603,ARKANSAS EARTH DAY FOUNDATION,% CHRISTY ASKEA,PO BOX 166023,LITTLE ROCK,AR,72216-6023,0000,03,3,1200,200209,1,15,000000000,1,01,201212,0,0,02,0,12,0,0,0,P50,
010620873,PENTECOSTAL CHURCH OF GOD,% MARLIN J RESINGER,HWY 8E,HUMPHREY,AR,72073-0000,1446,03,9,7000,195902,1,10,268120230,5,01,,0,0,06,0,12,,,,,
010627924,CHLAMYDIA BASIC RESEARCH SOCIETY,% ROGER RANK,4301 W MARKHAM ST 511,LITTLE ROCK,AR,72205-7101,0000,03,3,1000,200301,1,16,000000000,1,01,201212,3,1,02,0,12,41737,7993,7993,U99,
010631060,INFRAGARD NATIONAL MEMBERS ALLIANCE INC,% DEBBIE MCMAHON,PO BOX 2684,LITTLE ROCK,AR,72203-2684,5278,03,9,1000,200510,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,Q43,ARKANSAS
010634033,SELMA VOLUNTEER FIRE DEPT,% KENNY WATSON,323 HIGHWAY 293,TILLAR,AR,71670-9405,0000,03,3,1000,200207,1,15,000000000,1,01,201312,4,2,02,0,12,158182,14209,14209,M24,
010648135,PINNACLE SCHOLARSHIP FOUNDATION,% H THOMAS GIBBONS,3 S CLUBHOUSE DR,ROGERS,AR,72758-9563,0000,03,3,1000,200303,1,04,000000000,1,01,201312,1,1,00,1,12,261,63,,B82,
010648891,COMMUNITY RESOURCES TECHNICIANS INC,% DEBORAH K COOPER,PO BOX 3616,LITTLE ROCK,AR,72203-3616,0000,03,3,1000,200207,1,16,000000000,1,01,201212,3,3,01,0,12,79528,75053,75053,P51,
010650805,KOAL TO DIAMOND FOUNDATION INC,% RICHARD DENNY,PO BOX 6014,PINE BLUFF,AR,71611-6014,0000,03,3,1200,200309,1,15,000000000,1,01,201312,3,1,02,0,12,99396,8460,8460,P20,
010655354,C W EASTER SR MEMORIAL FOUNDATION,% JERRY SMITH,902 EAST MCKISSACK,WALDO,AR,71770-0000,0000,03,3,1200,200307,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,P20,
010669851,FIRST ASSEMBLY OF GOD,,PO BOX 103,BLACK OAK,AR,72414-0103,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,12,,,,,
010672219,NEW REVELATION TEMPLE L M,% LEROY MCDONALD,1920 MUDLINE RD,PROCTOR,AR,72376-9439,0000,03,3,7000,200302,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010685409,LONE STAR FAITHFULL GOSPEL CHURCH INC,% FRANK WHITESIDE,4528 HIGHWAY 7 S,HARRISON,AR,72601-5053,3095,03,9,7000,197709,1,10,001029000,5,01,,0,0,06,0,12,,,,,
010695331,ARKANSAS BEVERAGE RETAILERS ASSOCIATION,% JOAN R ZUMWALT,PO BOX 220,RUSSELLVILLE,AR,72811-0220,0000,06,3,2000,200412,2,00,000000000,1,01,201312,4,3,02,0,12,120875,46905,46905,S41,
010709468,TRINITY GRACE CHURCH,,5845 S BELLVIEW RD,ROGERS,AR,72758-9023,8534,03,9,7000,197404,1,10,001000000,1,01,,0,0,06,0,06,,,,,
010738599,AMERICAN SCENT DOG ASSOCIATION INC,% DONNA WAUGH,13823 RIVERCREST DR,LITTLE ROCK,AR,72212-1520,0000,03,3,1200,200804,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,M23,
010747040,RIVER VALLEY COMMUNITY CHURCH,% ANDREW L THOMPSON,PO BOX 697,OZARK,AR,72949-0697,0000,03,3,7000,200309,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010773863,SUMMIT PENTECOSTAL CHURCH OF GOD,% DENZAL DAVID PARRAMORE,HWY 202 E,SUMMIT,AR,72677-0000,1446,03,9,7000,195902,1,10,268120230,5,01,,0,0,06,0,12,,,,,
010790641,J AUSTIN WHITE CULTURAL CENTER INC,% BRIANNE CONNELLY,PO BOX 316,EUDORA,AR,71640-0316,0000,03,3,2000,200308,1,15,000000000,1,01,201312,5,4,01,0,12,606413,121870,121870,A20,
010824585,NEWTON COUNTY ANIMAL SHELTER,% PEGGY MATTEONI,HC 70 BOX 27,JASPER,AR,72641-9701,0000,03,3,1000,200508,1,15,000000000,1,01,201306,0,0,02,0,06,0,0,0,D20,
010824769,CENTRAL ARKANSAS WOODTURNERS,% WALTER DUCHOW,36 CRESTA WAY,HOT SPRINGS,AR,71909-6901,0000,03,3,1000,200607,1,15,000000000,1,01,201212,0,0,02,0,12,0,0,0,A25,
010831883,MARGARET DANIEL PRIMARY SCHOOL FOUNDATION,% KARA HARGER,1323 FOSTER DR,ASHDOWN,AR,71822-3217,0000,03,3,1000,200507,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,B112,
010834483,KELLYS SECOND CHANCE,% RACHEL CAMPBELL,313 HWY 64 WEST,BEEBE,AR,72012-9508,0000,03,3,1000,200606,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,F22,
010836577,ARKANSAS ASSOCIATION OF MORTGAGE PROFESSIONALS,% BILL BRINKLEY,PO BOX 1446,CONWAY,AR,72033-1446,0000,06,3,2000,200903,2,00,000000000,1,01,201312,0,0,02,0,12,0,0,0,J03,
010844080,AMERICAN LEGION,% DALLAS M ERDMAN,28 INNOVACION LN,HOT SPRINGS,AR,71909-7871,0925,19,9,1000,194603,1,00,907908000,1,01,201406,0,0,02,0,06,0,0,0,,123 MAURICE L BRITT POST INC
010873203,INDEPENDENT APOSTOLIC CHURCH INC,% ANDREW JUSTICE,21624 BUFFALO RD,PARON,AR,72122-9368,0000,03,3,7100,200711,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010911382,THE DELTA SPROUTS INC,% AMBER BUNKER,3768 HWY 65 82S,LAKE VILLAGE,AR,71653-6139,0000,03,3,1000,201007,1,15,000000000,1,01,201106,3,3,02,0,06,60504,48153,48153,S20,
010913548,CORNERSTONE CHRISTIAN ACADEMY,,PO BOX 1286,SEARCY,AR,72145-1286,0000,03,3,2000,201408,1,11,000000000,1,01,201212,1,3,01,0,12,5034,53070,53023,B20,ROBERT JAMES
010918942,CELEBRATION CHURCH OF SHERWOOD INC,,102 OVERCUP DR,SHERWOOD,AR,72120-3191,0000,03,3,7000,201012,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010919794,THE LAST OUTPOURING OUTREACH MINISTRY,% PASTOR ANGELA SIMMONS,304 VINE ST,JONESBORO,AR,72401-2661,0000,03,3,7000,200910,1,10,000000000,1,01,200912,0,0,06,0,12,0,0,0,X20,
010944235,EIKON CHURCH INC,% RYAN BYRD,2118 LOUISIANA ST,LITTLE ROCK,AR,72206-1522,0000,03,3,7000,201102,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010950524,VIKETTE SOCIETY OUTREACH INC,% MEREDITH MACK,PO BOX 6036,PINE BLUFF,AR,71611-6036,0000,03,3,2000,201007,1,15,000000000,1,01,201212,0,0,02,0,12,0,0,0,O50,
010957339,VALLEY HARVEST COMMUNITY OUTREACH INC,% VALLEY HARVEST COMMUNITY OUTREACH,201 N 37TH ST STE 3,ROGERS,AR,72756-0337,0000,03,3,1000,201103,1,15,000000000,1,01,201112,0,0,02,0,12,0,0,0,S20,
010961696,CHURCH OF JOHN,,1125 MALVERN AVE,HOT SPRINGS,AR,71901-6348,0000,03,3,7000,201105,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010967146,AMERICAN LEGION,% GUY RODEN,PO BOX 481,HUNTSVILLE,AR,72740-0481,0925,19,9,1000,194603,1,00,907908000,5,01,201212,0,0,02,0,12,0,0,0,,137 HAYES-SMITH POST
016021986,PTA ARKANSAS CONGRESS,% SANDRA HATLEY,2501 BARROW ROAD,LITTLE ROCK,AR,72204-3332,8592,03,9,2000,198907,1,16,035000000,1,01,201306,0,0,02,0,06,0,0,0,,PARKVIEW MAGNET HIGH PTA
016170491,JERRY AND SUE MAULDEN FAM FOUNDATION TR AGREEMENT,,18 SAINT JOHNS PL,LITTLE ROCK,AR,72207-3700,0000,03,3,1000,200306,1,04,000000000,1,01,201112,1,0,00,1,12,1,0,,T22,MAULDEN JERRY L ET AL TTEE
020482823,NORTHEASTERN POULTRY CONGRESS INC,% RUSSELL CREVOISERAT,PO BOX 13694,MAUMELLE,AR,72113-0694,0000,05,3,1000,199603,2,00,232000000,1,01,201403,0,0,02,0,03,0,0,0,,
020550078,SPRINGFIELD COMMUNITY CLUB,% JANIS HENSLEY,PO BOX 191,SPRINGFIELD,AR,72157-0191,0000,03,3,1000,200310,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,N31,
020554062,MARY HENLEY MINISTRIES,% MARY HENLEY,30 GRAND MAGNOLIA DR,GREENWOOD,AR,72936-4308,0000,03,3,1700,200207,1,16,000000000,1,01,201312,0,0,02,0,12,0,0,0,X20,
020554503,VETERANS OF FOREIGN WARS DEPARTMENT OF ARKANSAS,% ROBERT TAMPA,67 TWIN PEAK DR,EUREKA SPGS,AR,72631-4236,1717,19,9,1000,196502,0,00,907000000,5,01,201306,0,0,02,0,06,0,0,0,,77 HOLIDAY ISLAND
020559175,ARKANSAS SOCIETY FOR PUBLIC HEALTH EDUCATION INC,% DANA SMITH,PO BOX 251169,LITTLE ROCK,AR,72225-1169,0000,03,3,2000,200207,1,16,000000000,1,01,201312,0,0,02,0,12,0,0,0,B60,
020566218,VICTORY TEMPLE,% REV ORTHELL VINCENT,HWY 5 N CR 466,MOUNTAIN HOME,AR,72653-0000,1446,03,9,7000,195902,1,10,268120230,5,01,,0,0,06,0,12,,,,,
020572972,ARKANSAS STATE FAIR CHARITABLE FOUNDATION INC,% JIM PLEDGER,2600 HOWARD ST,LITTLE ROCK,AR,72206-1714,0000,03,3,1000,200209,1,17,000000000,1,01,201312,2,1,02,0,12,13855,2872,2872,N520,
020599625,MONTICELLO TRINITY HEW,% THOMASENA WILLIAMS,174 BRADLEY 360,WILMAR,AR,71675-0000,2358,03,9,7000,197210,1,10,001000000,5,01,,0,0,06,0,08,,,,,10350
