EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010421753,REAL J DAIGLE EVANGELISTIC CORPORATION,,PO BOX 78238,TUCSON,AZ,85703-8238,0000,03,3,1000,198909,1,16,006007000,1,01,201312,3,4,01,0,12,93290,104557,104557,Q330,
010468410,DIANA SYLVESTER SCHOLARSHIP FUND,% HENRY B SYLVESTER,9341 E PLACITA MIMOSA,TUCSON,AZ,85749-9214,0000,03,3,1000,199207,1,04,040000000,5,01,201312,1,1,00,1,12,2017,1,,,
010538668,NOVA ROMA,% ROBERT C WOOLWINE,1241 N 48TH ST APT 110,PHOENIX,AZ,85008-5916,0000,03,3,1000,200102,1,16,000000000,1,01,201212,0,0,02,0,12,0,0,0,A80,
010565908,CHILD EVANGELISM FELLOWSHIP INC,,PO BOX 6928,KINGMAN,AZ,86402-6928,2029,03,9,7000,195611,1,15,328029000,5,01,201312,1,1,02,0,12,8871,5399,4865,,CEF OF MOHAVE COUNTY CHAPTER
010568831,STROKE CHECK,% SCOTT AGRAN,6226 E CHOLLA ST,SCOTTSDALE,AZ,85254-4951,0000,03,3,1200,201405,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,E99,
010569967,COCHISE HEALTH NETWORK,% JULIE SCHOURUP MPH,2174 W OAK AVE,DOUGLAS,AZ,85607-6003,0000,03,3,2000,200408,1,15,000000000,1,01,201309,1,3,02,0,09,1844,49926,49926,E60,
010574137,YUMA SOUTHWEST CONTRACTORS ASSOCIATION,,350 W 16TH ST,YUMA,AZ,85364-4643,0000,06,3,2000,200305,2,00,000000000,1,01,201312,4,4,01,0,12,148123,219910,218176,S41,
010579687,FRIENDS OF PUBLIC RADIO ARIZONA,% SUSAN EDWARDS,2323 WEST 14TH STREET,TEMPE,AZ,85281-6948,0000,03,3,1200,200203,1,15,000000000,1,01,201306,7,6,01,0,06,9523483,4872907,4725394,A11,
010601839,WHITE MOUNTAIN WOMANS CLUB OF ARIZONA GFOWC,% KAREN WOLF,PO BOX 1386,LAKESIDE,AZ,85929-1386,0000,03,3,1000,200602,1,15,000000000,5,01,201312,3,3,01,0,12,60286,65536,40445,T50,
010614774,SANTAS CHILDREN,% JOANN MALONE,26847 N 97TH LN,PEORIA,AZ,85383-2932,0000,03,3,1000,200206,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,B99,
010618606,NEVADA SIGN ASSOCIATION SOUTHERN DIVISION,% PATRICIA KING,17235 N 75TH AVE STE D145,GLENDALE,AZ,85308-0861,0000,06,3,1000,200310,2,00,000000000,1,01,201312,3,2,02,0,12,85976,12729,12729,S41,
010622545,DETOUR COMPANY THEATER INC,% SAM,PO BOX 15067,PHOENIX,AZ,85060-5067,0000,03,3,2000,200307,1,15,000000000,1,01,201312,3,4,01,0,12,72535,119633,119633,P82,
010627091,WILLCOX AMERICAN LEGION POST 20,,PO BOX 819,WILLCOX,AZ,85644-0819,0925,19,9,1000,194603,0,00,907908000,5,01,201112,0,0,02,0,12,0,0,0,,20 WILLCOX POST
010637750,ARIZONA ADVOCACY NETWORK INC,,99 E VIRGINIA AVE STE 210,PHOENIX,AZ,85004-1195,0000,04,3,3000,200211,2,00,000000000,1,01,201312,2,5,01,0,12,24339,669839,653876,R01,
010637797,IMMANUEL CAMPUS OF CARE,% WATERMARK RETIREMENT COMMUNITIES,2020 W RUDASILL RD,TUCSON,AZ,85704-7800,0000,03,3,1000,200404,1,17,000000000,1,01,201212,1,0,02,0,12,261,0,0,T113,
010640326,AHWATUKEE CHILDRENS THEATRE INC,,5051 E ELLIOT RD,PHOENIX,AZ,85044-1714,0000,03,3,1000,200204,1,16,000000000,1,01,201312,4,4,01,0,12,145805,401497,385675,A65,
010645414,SOUTHERN ARIZONA ARTS GUILD,% PRESIDENT,PO BOX 69941,TUCSON,AZ,85737-0024,0000,03,3,1000,200301,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,B90,
010646242,ARIZONA BEAGLE RESCUE,% LAURA JONLAND,PO BOX 61193,PHOENIX,AZ,85082-1193,0000,03,3,1200,200309,1,15,000000000,1,01,201312,2,3,01,0,12,20792,85864,85112,D20,
010654498,GOSPEL 4 KIDS INC,% DAVID E EVANS,PO BOX 7477,SURPRISE,AZ,85374-0107,0000,03,3,1700,200209,1,15,000000000,1,01,201312,1,3,01,0,12,5516,77461,77461,X20,
010662899,SAVING ANIMALS FROM EUTHANASIA,% REAGEN A KULSETH,3661 N CAMPBELL AVE 220,TUCSON,AZ,85719-1527,0000,03,3,4000,200206,1,15,000000000,1,01,201312,3,3,01,0,12,92259,98503,98503,D20,
010663753,SCOTTDALE MANNAM PRESBYTERIAN CHURCH,% HEASIL HAUSER,3002 W GLENHAVEN DR,PHOENIX,AZ,85045-2241,0000,03,3,7000,200206,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010663847,GROSSMAN FAMILY FOUNDATION,,3101 N CENTRAL AVE STE 1390,PHOENIX,AZ,85012-2688,0000,03,3,1000,200309,1,04,000000000,1,01,201311,1,1,00,1,11,1,1,,T20,CROW W MATTHEW
