EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010282855,B M CLARK FOUNDATION,,133 WESTVIEW DR,MERIDEN,CT,06450-4763,0000,03,3,1000,197009,1,04,040000000,1,01,201212,3,3,00,1,12,43372,47329,,,
010366432,WESTERN CONNECTICUT CHAPTER NATIONAL RAILWAY HISTORICAL SOCIET,% KEVIN FEENEY TREASURER,77 WASHINGTON ST,NORWALK,CT,06854-3086,0000,03,3,2000,198003,1,16,119299000,1,01,201303,3,2,02,0,03,57671,16121,12761,,
010371179,GOVERNOR JAMES B LONGLEY SCHOLARSHIP FOUNDATION TRUST,% NORMAN HANSON & DETROY LLC,850 MAIN ST RC 13-505,BRIDGEPORT,CT,06604-4917,0000,03,3,1000,000000,1,04,000000000,5,01,201308,4,4,00,1,08,243702,210197,,,KATHRYN M LONGLEY-LEAHY
010390887,NEW ENGLAND RSVP COUNCIL,% TREASURER,PO BOX 578,NEW BRITAIN,CT,06050-0578,0000,03,3,2000,200412,1,16,000000000,1,01,201106,0,0,02,0,06,0,0,0,T40,
010441043,COURI FOUNDATION INC,,164 RAMAPOO RD,RIDGEFIELD,CT,06877-3732,0000,03,3,1000,198907,1,03,000000000,1,01,201312,6,5,00,1,12,2416169,546678,,,
010441453,UNITED ELECTRICAL RADIO & MACHINE WORKERS OF AMERICA,% JUDY G SAUNDERS,1060 SHELDON ST,WEST SUFFIELD,CT,06093-3516,0735,05,9,3000,194411,2,00,263000000,5,01,201312,0,0,02,0,12,0,0,0,,222-38 UE LOCAL
010449148,SOCIETY OF WOMEN ENGINEERS,% ELLEN MCISAAC,62 LOVELAND ST APT 18,MIDDLETOWN,CT,06457-3755,9225,03,9,1000,199209,1,15,040000000,5,01,201312,0,0,02,0,12,0,0,0,,NEW ENGLAND REGION
010538112,WATOTO CHARITABLE TR,% PETER HARVEY,1364 ROCK RIMMON RD,STAMFORD,CT,06903-1104,0000,03,3,1000,200103,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,T30,
010563865,WEST HAVEN CHURCH OF CHRIST INC,% WILLIAM BOWLING SR,PO BOX 4416,HAMDEN,CT,06514-0416,0000,03,3,7000,200409,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010566395,BUILDERS BEYOND BORDERS,,66 FORT POINT ST,NORWALK,CT,06855-1217,0000,03,3,1000,200302,1,16,000000000,1,01,201306,5,5,01,0,06,641215,966055,895926,P30,
