EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010123106,MORNING STAR BAPTIST CHURCH,,3204 BROTHERS PL SE,WASHINGTON,DC,20032-1501,1961,03,9,7000,196811,1,10,029000000,5,01,,0,0,06,0,12,,,,,
010466768,AMERICAN UNIVERSITY IN BULGARIA,,910 17TH ST NW STE 1100,WASHINGTON,DC,20006-2619,0000,03,3,2000,199209,1,11,030000000,1,01,201306,8,6,01,0,06,32550000,3067000,3067000,Q300,
010491403,SMITH COLLEGE CLASS OF 1994,% ROBERTA RITVO,1875 MONROE ST NW,WASHINGTON,DC,20010-1014,0000,03,3,1000,199503,1,16,034000000,5,01,201306,0,0,02,0,06,0,0,0,B84Z,
010547837,PHI BETA KAPPA SOCIETY,,1606 NEW HAMPSHIRE AVENUE NW,WASHINGTON,DC,20009-2512,1130,03,9,2000,195106,1,16,059000000,5,01,201307,0,0,02,0,07,0,0,0,,MAINE ASSOCIATION
010551639,REVELATION KNOWLEDGE CHRISTIAN CHURCH,% PASTOR YVETTE W ROSS,1108 5TH ST NW,WASHINGTON,DC,20001-3606,0000,03,3,7000,200302,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010554700,PEACE CORPS FOUNDATION,% BONNIE GOTTLIEB,3601 CONNECTICUT AVE NW SUITE 504,WASHINGTON,DC,20008-2465,0000,03,3,1200,200202,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,A80,
010557727,NABOB TELECOMMUNICATIONS EDUCATION AND MANAGEMENT FOUNDATION,% JAMES L WINSTON,1201 CONNECTICUT AVE NW STE 200,WASHINGTON,DC,20036-2636,0000,03,3,2100,200205,1,15,000000000,1,01,201212,1,2,02,0,12,9667,22000,22000,S40,
010564259,FREEMUSLIM ASSOCIATION INC,% MOHAMMAD T AKHOND,1050 17TH ST NW STE 800,WASHINGTON,DC,20036-5514,0000,03,3,1000,200211,1,15,000000000,1,01,201312,3,1,02,0,12,26253,5226,5226,X40,
010570343,NORTH LINCOLN PARK NEIGHBORHOOD ASSOCIATION,% ELIZABETH NELSON,1330 N CAROLINA AVE NE,WASHINGTON,DC,20002-6424,0000,03,3,1000,200207,1,16,000000000,1,01,201402,0,0,02,0,02,0,0,0,C50,
010572370,PHI BETA KAPPA SOCIETY,% MS MOLLY BETH ECKMAN,1606 NEW HAMPSHIRE AVENUE NW,WASHINGTON,DC,20009-2512,1130,03,9,2000,195106,1,16,059000000,5,01,201307,0,0,02,0,07,0,0,0,,ALPHA OF MASSSCHUSETTS ASSOCIATION
010579796,AMERICA ABROAD MEDIA,,1701 PENNSYLVANIA AVE NW SUITE,WASHINGTON,DC,20006-5805,0000,03,3,1000,200206,1,15,000000000,1,01,201212,6,6,01,0,12,1062576,4051292,4051292,A34,
010581980,GEDE FOUNDATION INC,% JENNIFER DOUGLAS ABUBAKAR,1875 I ST NW STE 500,WASHINGTON,DC,20006-5425,0000,03,3,1000,200207,1,15,000000000,1,01,201212,4,5,01,0,12,399060,716980,716980,Q30,
010583568,NURMI FAMILY FOUNDATION,% THOMAS D NURMI,3025 UNIVERSITY TER NW,WASHINGTON,DC,20016-3462,0000,03,3,1000,200203,1,04,000000000,1,01,201312,5,5,00,1,12,763215,664616,,T22,NURMI THOMAS D PRES
010588381,DISTRICT OF COLUMBIA CHAMBER OF COMMERCE FOUNDATION,% RUSSELL SIMMONS,506 9TH ST NW,WASHINGTON,DC,20004-2181,0000,03,3,1200,200305,1,15,000000000,1,01,201309,3,4,01,0,09,76699,262408,262408,S43,
010593565,THE ONE CAMPAIGN,% KENNETH WEBER,1400 EYE STREET NW STE 600,WASHINGTON,DC,20005-6517,0000,03,3,2000,200207,1,16,000000000,1,01,201212,8,9,01,0,12,49031109,71243016,55927760,Z99,
010616118,UNITED FOR D C INC,% RFK STADIUM,2400 EAST CAPITOL STREET SE,WASHINGTON,DC,20003-0000,0000,03,3,1000,200205,1,15,000000000,1,01,201112,4,5,01,0,12,285599,535192,497126,O50,
010621392,PIZZAZZ,% PIZZAZZ,2504 10TH STREET NE,WASHINGTON,DC,20018-1739,0000,03,3,1000,200304,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,J20,
010669150,GRANTMAKERS FOR EFFECTIVE ORGANIZATIONS,% ENRIGHT KATHLEEN,1725 DESALES ST NW STE 404,WASHINGTON,DC,20036-4418,0000,03,3,2100,200207,1,15,000000000,1,01,201312,6,6,01,0,12,4145845,4175578,3061131,T02,
