EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010548650,CAROLYN L DONIGAN PRIVATE FOUNDATION INC,% C/O FOUNDATION SOURCE,FOUNDATION SOURCE 501 SILVERSIDE RD,WILMINGTON,DE,19809-0000,0000,03,3,1000,200210,1,04,000000000,1,01,201312,4,3,00,1,12,292960,37989,,T22,
010548657,KUEHNER BROTHERS FOUNDATION INC,% C/O FOUNDATION SOURCE,FOUNDATION SOURCE 501 SILVERSIDE RD,WILMINGTON,DE,19809-0000,0000,03,3,1000,200303,1,04,000000000,1,01,201312,5,5,00,1,12,512128,500095,,T20,
010592853,COLLABORATIVE EFFORT TO REINFORCE TRANSITION SUCCESS INC,% JOHN A JADACH,1501 CASHO MILL RD STE 1,NEWARK,DE,19711-3500,0000,03,3,2000,200401,1,15,000000000,1,01,201306,6,5,01,0,06,1212015,935215,926367,B90,
010620485,STAR KIDS INC,% FRANCIS J NORRIS,PO BOX 161,ROCKLAND,DE,19732-0161,0000,03,3,1000,200211,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,T70,
010652445,RODNEY STREET TENNIS ASSOCIATION,% HARRY SHUR,41 PALADIN DR,WILMINGTON,DE,19802-1702,0000,03,3,2000,200401,1,16,000000000,1,01,201212,3,4,01,0,12,40704,228676,202126,N66,
010667483,COLUMBIETTES INCORPORATED,% ELLEN JAQUISH,358 MIMOSA AVE,DOVER,DE,19904-4839,3060,10,9,1000,197709,2,00,260000000,5,01,201212,0,0,02,0,12,0,0,0,,4182 DOVER AUX
010668771,SERVIAM MEDIA INC,% SHARON BAKER,PO BOX 7769,WILMINGTON,DE,19803-0769,0000,03,3,1200,200208,1,15,000000000,1,01,201312,3,4,01,0,12,30024,151708,151708,A31,
010702336,WOMEN IN TRANSITION INC,% CARLA D ROBINSON,PO BOX 1073,BEAR,DE,19701-7073,0000,03,3,1200,200406,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,I31,
010708223,PTA DELAWARE CONGRESS,% CHERYL DILL,750 E DELAWARE AVE,NEWARK,DE,19711-7185,2155,03,9,2000,197103,0,16,059035000,5,01,201406,0,0,02,0,06,0,0,0,,NEWARK HIGH SCHOOL PTSA
010715984,P R KELLERMAN FOUNDATION,% REBECCA GAYAGOY,WILM TR 1100 N MARKET ST DE3-C070,WILMINGTON,DE,19890-0001,0000,03,3,1200,200305,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,A68,
