EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010548379,LIVING FOR CHRIST MINISTRIES,% PEGGY WEBSTER,PO BOX 29112,HONOLULU,HI,96820-1512,0000,03,3,7000,200302,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010575126,FRIENDS OF NELHA,,73 4460 QUEEN KAAHUMANU HWY ROOM 10,KAILUAKONA,HI,96740-2632,0000,03,3,1000,200309,1,16,000000000,1,01,201312,2,4,01,0,12,23258,118284,118284,C30,
010577643,NOVA LUNA FOUNDATION,% MICHELLE VILLANTI,1135 MAKAWAO AVE PMB 340,HAIKU,HI,96708-0000,0000,03,3,2000,200405,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,E50,
010602637,INTERNATIONAL PACKAGED CONCRETE MANUFACTURERS ASSOCIATION INC,% ROBERT JASKA,91-400 KOMOHANA,EWA BEACH,HI,96707-0000,0000,06,3,2000,200309,2,00,000000000,1,01,201309,3,3,01,0,09,44468,63152,63152,S41,
010606686,HAWAII QUARTER HORSE ASSOCIATION,% LINDA HUNT,PO BOX 638,KAMUELA,HI,96743-0638,0000,05,3,1000,200303,2,00,000000000,1,01,201312,0,0,02,0,12,0,0,0,K26,
010607132,OUTREACH EMERGENCY SERVICE PROGRAM,% KAREN WHITNEY,92-706 NOHOPAA ST,KAPOLEI,HI,96707-1236,0000,03,3,1000,200209,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,E60,
010629526,BEN AND MIRIAM LAU FOUNDATION,% RICHARD C WO,1314 S KING ST STE 524,HONOLULU,HI,96814-1940,0000,03,3,1000,200210,1,04,000000000,1,01,201212,6,6,00,1,12,3608822,3875614,,T20,
010629563,OLD TOWN MOILIILI BUSINESS ASSOCIATION,% FHB MANOA BR - MARTHA LEE,2764 WOODLAWN DR,HONOLULU,HI,96822-1841,0000,03,3,1000,200509,1,15,000000000,0,01,201212,0,0,02,0,12,0,0,0,S12,
010637829,HAWAII TRAVEL & TOURISM RESEARCH ASSOCIATION,% JASON UMINO,2270 KALAKAUA AVE STE 801,HONOLULU,HI,96815-2568,0000,06,3,2000,200805,2,00,000000000,1,01,201312,0,0,02,0,12,0,0,0,S41,HTTRA
010637863,MYRA W & JEAN KENT ANGUS FOUNDATION,% PACIFIC CENTURY TRUST,PO BOX 3170,HONOLULU,HI,96802-3170,0000,03,3,1000,200206,1,04,000000000,2,01,201303,6,5,00,1,03,2813190,880775,,T20,
010642459,KEALA O KALANI,% ALLAN PREVO,98-778 NAALII ST,AIEA,HI,96701-2743,0000,03,3,2000,200503,1,15,000000000,1,01,201212,2,1,02,0,12,14416,4810,4810,P50,
010682872,PDMI-CARE INC,% C/O SHARON FOUNTAIN,84-1064 LAHAINA ST APT 1,WAIANAE,HI,96792-2267,0000,03,3,1000,200210,1,15,000000000,1,01,201212,4,4,01,0,12,268194,346748,329575,P82,
010700725,AHA KUKUI O MOLOKAI,% ROBERT J M MORRIS JR,PO BOX 391,HOOLEHUA,HI,96729-0391,0000,03,3,1000,200402,1,15,000000000,1,01,201312,3,1,02,0,12,41937,7134,6555,A20,
010703365,HAWAII VENTURE CAPITAL ASSOCIATION,% WINDWARD CONNECTION,55 MERCHANT ST STE 1700,HONOLULU,HI,96813-4331,0000,06,3,2000,200305,2,00,000000000,1,01,201304,1,3,02,0,04,2078,41306,41306,S30,
010717296,FREEDOM TO CHOOSE FELLOWSHIP,% MICHAEL S FLYNN,885 KILAUEA AVE,HILO,HI,96720-4214,0000,03,3,1000,200210,1,15,000000000,1,01,201212,1,1,02,0,12,78,8532,8532,X20,
010724620,KOREAN AMERICAN MEDICAL ASSOCIATION OF HAWAII,% CHARLES KIM,1010 S KING ST STE 801,HONOLULU,HI,96814-1759,0000,03,3,1000,200209,1,15,000000000,1,01,201311,0,0,02,0,11,0,0,0,G119,
010757287,UFCW-HAWAII FOOD EMPLOYERS HEALTH AND WELFARE TR FUND,% AMERICAN BENEFIT PLAN,200 N VINEYARD BLVD STE 100,HONOLULU,HI,96817-3938,0000,09,3,1000,200511,2,00,000000000,1,01,201212,8,8,01,0,12,10395112,17429213,9956065,Y43,LOO PAT ET AL TTEE
010799223,STARFIRE COMPANION-ANIMAL SANCTUARY,% TORUN ALMER,84-5142 KEALA O KEAWE RD,CAPTAIN COOK,HI,96704-8418,0000,03,3,4000,200408,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,D32,
010876003,MARINE CORPS LEAGUE,% ALICE BROWNE,PO BOX 385551,WAIKOLOA,HI,96738-0551,0955,08,9,1000,194511,2,00,036279265,5,01,201206,0,0,02,0,06,0,0,0,,1255 CAMP TARAWA DETACHMENT
010904036,ADMB FOUNDATION,% JOHN SIBERT,3039 ALENCASTRE PL,HONOLULU,HI,96816-1909,0000,03,3,1000,200802,1,04,000000000,1,01,201212,2,0,00,1,12,18788,0,,T22,
010910349,MALAMA HAWAII,% MARK HUFF,1616 PAPAU PL,KAPAA,HI,96746-0000,0000,03,3,1200,200903,1,15,000000000,1,01,,0,0,00,0,12,,,,A34,
