EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010560970,TUNNEY FOUNDATION,% DORIS F TUNNEY MD DIRECTOR,PO BOX 3873,KETCHUM,ID,83340-3873,0000,03,3,1000,200203,1,04,000000000,1,01,201312,5,3,00,1,12,794605,48221,,T22,
010596311,HOMEDALE BIBLE MISSIONARY CHURCH,,201 S 7TH ST W,HOMEDALE,ID,83628-3311,1449,03,9,7000,195709,1,10,001000000,5,01,,0,0,06,0,12,,,,,
010602617,GOOD SHEPHERD LUTHERAN CHURCH,% TOM HUGHES,3707 14TH ST,LEWISTON,ID,83501-5709,1709,03,9,7000,194107,1,10,001029000,5,01,,0,0,06,0,12,,,,,
010603720,HEART TO HEART PETS WITH A PURPOSE INC,% NO,44 VALLEYVIEW DR,POCATELLO,ID,83204-4715,0000,03,3,1000,201205,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,P20,
010691782,MOSES SONG MINISTRIES,% DERROL SAWYER,PO BOX 1115,BONNERS FERRY,ID,83805-1115,0000,03,3,1700,200209,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,X20,SAWYER CYNTHIA SECRETARY
010691885,SNAKE RIVER TERRITORY CONVENTION AND VISITORS BUREAU INC,% MICHAEL F KUHNS,PO BOX 50498,IDAHO FALLS,ID,83405-0498,0000,04,3,2000,200312,2,00,000000000,1,01,201312,1,4,01,0,12,959,131854,131854,S41,
010720150,IDAHO VIRTUAL ACADEMY INC,,1965 S EAGLE RD STE 190,MERIDIAN,ID,83642-9246,0000,03,3,2000,200304,1,15,000000000,1,01,201306,6,8,01,0,06,1279908,13620778,13620778,B40,
010768390,WILDERNESS RANCH FIREFIGHTERS ASSOCIATION INC,% RICHARD K MURRAY,161 EVERGREEN CIR,BOISE,ID,83716-3021,0000,03,3,1000,200403,1,15,000000000,1,01,201309,0,0,02,0,09,0,0,0,M24,
010791915,NAMPA CHEER STARS,% JACKIE HAMMRICH,PO BOX 3784,NAMPA,ID,83653-3717,0000,03,3,1200,200503,1,16,000000000,5,01,201303,0,0,02,0,03,0,0,0,N116,
010845451,NATIONAL PIONEER HALL OF FAME INC,% DALE E WHIPPLE,601 W 25TH ST,BURLEY,ID,83318-2807,0000,03,3,1200,200604,1,03,000000000,1,01,201312,1,1,00,1,12,1,1,,A80,
010874048,INTERNATIONAL RAFTING FEDERATION,% MARK I JOFFE,1512 N 6TH ST,BOISE,ID,83702-3709,0000,04,3,1000,200804,2,00,000000000,1,01,201212,0,0,02,0,12,0,0,0,S41,IRF
010886085,OLD FAITHFUL CHRISTIAN RANCH INC,% PERRY ROTENBERGER,2364 W 81ST S,IDAHO FALLS,ID,83402-5839,0000,03,3,1000,200811,1,15,000000000,1,01,201212,4,4,01,0,12,251472,178587,178587,X192,
010904398,SOUPER SUPPER DINING ROOM INC,% DORA LEVIN,PO BOX 4197,KETCHUM,ID,83340-4197,0000,03,3,1000,200710,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,K35,
010917854,LIBRI SYSTEM INC,% JULIE WOODFORD,1300 MILLER AVE,BURLEY,ID,83318-1729,0000,03,3,1000,201002,1,15,000000000,1,01,201309,0,0,02,0,09,0,0,0,P20,
010944516,THE@FOUNDATION FOR COMMUNITY DEVELOPMENT AND EMPOWERMENT,% ERIC YOUNGER,PO BOX 6560,KETCHUM,ID,83340-6560,0000,03,3,1000,201103,1,15,000000000,1,01,201312,3,4,01,0,12,48790,107959,107959,P20,FCDE
