EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010356732,CARRIAGE MUSEUM OF AMERICA,,4809 IRON WORKS PKWY,LEXINGTON,KY,40511-0000,0000,03,3,1000,197808,1,15,149060000,1,01,201212,6,4,00,0,12,1129636,150667,39915,A540,AT THE KENTUCKY HORSE PARK
010374284,GODS PHYSICIANS INC,,3276 PECKS CREEK RD,STANTON,KY,40380-8019,0000,03,3,1200,201212,1,15,031000000,1,01,,0,0,02,0,12,,,,A30,
010551398,HIGHLANDS BAND ASSOCIATION INC,% DAWNA HAUPT,PO BOX 75029,FORT THOMAS,KY,41075-0029,0000,03,3,1200,200203,1,16,000000000,1,01,201305,0,0,02,0,05,0,0,0,N60,
010554843,JEFFERSON COUNTY SEARCH DOG ASSOCIATION,% HOLLY HATFIELD,8004 SMYRNA PKWY,LOUISVILLE,KY,40228-1808,0000,03,3,1200,200204,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,P80,
010557144,AUGUSTA ART GUILD,% MARLYN LUSTIK,116 MAIN ST,AUGUSTA,KY,41002-1035,0000,03,3,1000,201407,1,16,000000000,1,01,201012,0,0,01,0,10,0,0,0,A40,
010557631,KENTUCKY ALPACA ASSOCIATION INC,%MARTHA SANDERS,6041 DAMAR CT,LEXINGTON,KY,40515-9704,0000,05,3,1000,200204,2,00,000000000,1,01,201312,2,2,02,0,12,17742,23262,12518,K26,KY CLASSIC ALPACA SHOW
010560598,CHILD DEVELOPMENT CENTER CORPORATION,% AUTUMN H MCFANN,2201 LEXINGTON AVE,ASHLAND,KY,41101-2843,0000,03,3,1000,200208,1,17,000000000,1,01,201309,6,5,01,0,09,1523289,596259,596259,P33,
010563104,FRIENDSHIP AND COMMUNITY EXPERIENCING SUCCESS INC,% DERRICK L MILES,2325 OSAGE AVE,LOUISVILLE,KY,40210-1113,0000,03,3,1000,200301,1,15,000000000,1,01,201206,0,0,02,0,06,0,0,0,O55,
010582200,KENTUCKY PAINT HORSE CLUB,% TRACIE DUNN,PO BOX 1177,VERSAILLES,KY,40383-5177,0000,05,3,1000,201110,2,00,000000000,1,01,201312,3,3,01,0,12,43989,66511,66511,K26,
010597359,SPIRIT OF JOY LIFE MINISTRIES,% BELZORA SCOTT,5009 POPLAR LEVEL RD,LOUISVILLE,KY,40219-1117,0000,03,3,7000,200606,1,10,000000000,1,01,,0,0,06,0,10,,,,X20,
010600655,CHRIST CHURCH OF PRAYER AND DELIVERANCE,% CHARLES VAUGHN,624 S 38TH ST,LOUISVILLE,KY,40211-3029,0000,03,3,7000,200204,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010643904,ELOHIM CHRISTIAN CENTER,% REV JOSEPH ANDINO,1205 MARYLAND AVE,COVINGTON,KY,41011-3511,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,12,,,,,
010647703,FILIPINO-AMERICAN INTERNATIONAL ASSOCIATION INC,% MERCEDES ACUNA,335 A BAKER ST,FT CAMPBELL,KY,42223-3662,0000,03,3,1000,201408,1,03,000000000,1,01,200908,0,0,00,1,08,0,0,0,A11,
010651516,MOUNTAIN MISSIONS DEVELOPMENT CORP,% MORRIS NORFLEET,PO BOX 106,NANCY,KY,42544-0106,0000,03,3,7100,200209,1,15,000000000,1,01,201212,2,2,00,0,12,24885,11668,192,X19,
010655880,ONE WITH CHRIST MINISTRIES INC,% WILLIAM L HANEY,PO BOX 316,WINCHESTER,KY,40392-0316,0000,03,3,7000,200210,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,X21,
010667641,AMERICAN SEWING GUILD INC,% MARILYN NEEL,3536 SASSE WAY,LOUISVILLE,KY,40245-8515,3534,03,9,2000,000000,1,15,281995000,5,01,,0,0,02,0,12,,,,,LOUISVILLE CHAPTER
010689354,KARP HOUSING INC,% STEVE SHANNON,152 W ZANDALE DR STE 201,LEXINGTON,KY,40503-2486,0000,03,3,1000,200302,1,15,000000000,1,01,201306,0,0,02,0,06,0,0,0,L20,
010693937,PAULINE C YOUNG SCHOLARSHIP FOUNDATION INC,% GERRY CALVERT,115 W SHORT ST,LEXINGTON,KY,40507-1301,0000,03,3,1200,200311,1,04,000000000,1,01,201312,1,1,00,1,12,39,1,,B82,
010701145,KENTUCKY HEARTWOOD INC,% CHRIS SCHIMMOELLER,PO BOX 1486,BEREA,KY,40403-3486,0000,03,3,1000,200208,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,C300,
010702831,DEAF YOUTH SPORTS FESTIVAL INC,% TIMOTHY OWENS,PO BOX 17565,LOUISVILLE,KY,40217-0565,0000,03,3,2000,200302,1,15,000000000,1,01,201312,3,3,01,0,12,64089,60496,60496,P87,
010706736,AMERICAN EAGLE LIFECARE CORPORATION,% JOHN E GILLMOR,1050 CHINOE RD STE 350,LEXINGTON,KY,40502-6571,0000,03,3,1000,200211,1,16,000000000,1,01,201212,9,9,01,0,12,53974461,57050561,57050561,E91,
010734062,AUTOMOBILE INDUSTRY TR,% STEPHANIE COOLEY,333 WEST VINE STREET,LEXINGTON,KY,40507-1622,0000,09,3,1000,200311,2,00,000000000,2,01,201212,6,6,01,0,08,1095680,4937257,3607398,Y43,
010742836,LEAGUE OF AGRICULTURAL EQUINE CENTERS INC,% DARRELL W TOWE,PO BOX 23575,LEXINGTON,KY,40523-3575,0000,06,3,2000,200402,2,00,000000000,1,01,201312,3,3,01,0,12,43590,66366,66366,S41,
010751843,AMERICAN ACADEMY OF DEVELOPMENT MEDICINE AND DENTISTRY,% MATT HOLDER,PO BOX 681,PROSPECT,KY,40059-0681,0000,03,3,1200,200304,1,16,000000000,1,01,201312,4,4,01,0,12,147118,139895,139895,E05,
010774177,NORTH OLDHAM BAND BOOSTERS INC,% AMANDA BUCHHOLZ,1815 S HIGHWAY 1793,GOSHEN,KY,40026-9419,0000,03,3,2000,200309,1,15,000000000,1,01,201405,0,0,02,0,05,0,0,0,B11,
010775588,GARDEN CLUB OF KENTUCKY INC,% JANET SHUMATE,1218 FALCON DR,LOUISVILLE,KY,40213-1218,4270,03,9,1000,200403,1,16,000000000,5,01,201403,0,0,02,0,03,0,0,0,C42,AUDUBON PARK GARDEN CLUB
010783621,FLANNELGRAPH MINISTRIES INC,% HAROLD HAY,2703 CHINN ST,ASHLAND,KY,41101-4417,0000,03,3,7200,200309,1,15,000000000,1,01,201112,0,0,02,0,12,0,0,0,X99,
010785892,COMMUNITY CATHOLIC CENTER INC,,PO BOX 11065,LOUISVILLE,KY,40251-0065,0000,03,3,1000,200408,1,15,000000000,1,01,201306,4,4,01,0,06,140885,266695,266695,B82,
010789589,BALLARD BAND BOOSTERS INC,% PAUL SHEPARD,6000 BROWNSBORO RD,LOUISVILLE,KY,40222-6437,0000,03,3,1200,200310,1,16,000000000,1,01,201305,1,4,01,0,05,1755,102182,76633,A6C,
010798392,FRATERNAL ORDER OF POLICE,,5409 MADISON PIKE,INDEPENDENCE,KY,41051-8656,1199,08,9,1000,195210,1,00,265000000,5,01,201406,0,0,02,0,06,0,0,0,,75 INDEPENDENCE LODGE
