EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010550123,LOUISIANA OUTSIDE COUNSEL HEALTH AND ETHICS FOUNDATION,% DREW RANIER,1419 RYAN ST,LAKE CHARLES,LA,70601-5918,0000,03,3,1000,200207,1,04,000000000,1,01,201212,1,5,00,1,12,1,687500,,T90,
010554139,BATON ROUGE CAPITAL CONFLICT OFFICE INC,% DAVID PRICE,525 FLORIDA ST STE 310,BATON ROUGE,LA,70801-1732,0000,03,3,1000,200205,1,15,000000000,1,01,201312,3,5,01,0,12,49840,939635,939635,I80,
010557958,LEMMIE AND MABLE ANDREWS CHARITABLE FOUNDATION,% ARTHUR E FAULK,6811 JEFFERSON HWY,BATON ROUGE,LA,70806-8108,0000,03,3,1000,200311,1,04,000000000,1,01,201306,2,1,00,1,06,15313,1,,T50,
010558440,FRIENDS OF ARTS COUNCIL OF GREATER DENHAM SPRINGS INC,% PART HAUSSLER,133 HUMMELL ST,DENHAM SPGS,LA,70726-3417,0000,03,3,1000,200304,1,15,000000000,1,01,201312,2,3,01,0,12,20265,91734,24161,A26,GREATER DENHAM SPRINGS INC ART CNCL
010558682,DOC-DHL INC,,345 GRANDPRE ST,BATON ROUGE,LA,70802-5919,0000,03,3,1000,200501,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,P33,JACKSON CARL J
010558998,INTERFAITH COUNCIL ON NEEDS ST LANDRY INC,% DANA REED,186 CYPRESS DR,OPELOUSAS,LA,70570-8118,0000,03,3,1000,200203,1,15,000000000,1,01,201212,2,3,01,0,12,20955,79845,79845,P60,
010560277,LABORERS ABOUT THE MASTERS BUSINESS MINISTRIES INTERNATIONAL,,5127 LAUREL ST,NEW ORLEANS,LA,70115-1837,0000,03,3,1000,200712,1,15,000000000,1,01,201312,2,3,01,0,12,11177,78890,78890,,MCENERY HENRY A III
010561988,ASSESS THE NEED,% TROY D JONES CPA,PO BOX 307,LIVINGSTON,LA,70754-0307,0000,03,3,1000,200302,1,15,000000000,1,01,201312,3,3,01,0,12,48816,73147,73147,B99,
010576207,GERT TOWN COMMUNITY DEVELOPMENT CENTER,% REV JOHN T WHITE,3117 BROADWAY ST,NEW ORLEANS,LA,70125-2605,0000,03,3,1000,200302,1,15,000000000,1,01,201212,3,4,01,0,12,79739,104050,101450,P28,
010578178,OAKS MIDDLE SCHOOL,% TERI BICKHAM,43293 RANGE RD,HAMMOND,LA,70403-0000,0000,03,3,2000,200207,1,11,000000000,1,01,201206,0,0,02,0,06,0,0,0,B25,
010587847,TOTAL ARMOUR OF GOD,% JAMES K MILLSAPS,PO BOX 2061,HARVEY,LA,70059-2061,0000,03,3,7000,200304,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010593546,TIOGA HISTORICAL SOCIETY,% JIMMIE NELLE LEWIS PRESIDENT,PO BOX 151,TIOGA,LA,71477-0151,0000,03,3,2000,200208,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,A80,
010594976,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,% NATHANIEL THIERRY,1645 DUPRE RD,OPELOUSAS,LA,70570-1024,1531,04,9,1300,196111,2,00,430059480,5,01,,0,0,01,0,12,,,,Z99Z,6088 ST LANDRY BRANCH NAACP
010605461,LOUISIANA GASTROENTEROLOGY SOCIETY INC,,9103 JEFFERSON HWY,BATON ROUGE,LA,70809-2440,0000,06,3,2000,200209,2,00,000000000,1,01,201312,0,0,02,0,12,0,0,0,E03,
010606523,NEW DAY DELIVERANCE HOLINESS CHURCH OF ALEXANDER INC,% JEANNIE WILLIAMS,PO BOX 54,ALEXANDRIA,LA,71309-0054,0000,03,3,7000,201103,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010617783,CHARITY HOLDING CORPORATION,% SYDNEY THIBODAUX,PO BOX 468,LABADIEVILLE,LA,70372-0468,0000,02,3,1000,200810,2,00,000000000,1,01,201406,0,0,02,0,06,0,0,0,S47,
010625030,OPEN DOOR MINISTRIES INTERNATIONAL,% MELANIE DUPLECHAIN,11123 WINCHESTER PARK DR,NEW ORLEANS,LA,70128-2717,0000,03,3,1000,200708,1,15,000000000,1,01,201310,0,0,02,0,10,0,0,0,P60,
010626314,KREWE DE LAMITIE,% FRANK PORTINAUSE,5038 CYPRESS LAKE DR,LAKE CHARLES,LA,70611-3229,0000,07,3,1000,200307,2,00,000000000,1,01,201203,0,0,02,0,03,0,0,0,N50,
010635750,LOUISIANA STATE ASSEMBLY OF AST,% LORIE LAVERGNE,PO BOX 60445,LAFAYETTE,LA,70596-0445,0000,06,3,1000,200306,2,00,000000000,1,01,201312,0,0,02,0,12,0,0,0,E03,
010637415,NEW ORLEANS CRAFT TEMPLE FOUNDATION INC,% DR ERIC C HAHN,2804 KEITH WAY DR,HARVEY,LA,70058-1921,0000,03,3,2100,200209,1,15,000000000,1,01,201303,0,0,02,0,03,0,0,0,A50,
010648681,LOUISIANA OIL & GAS MUSEUM FOUNDATION INC,% GREGORY MARCANTEL,PO BOX 1254,JENNINGS,LA,70546-1254,0000,03,3,2000,200407,1,15,000000000,1,01,201312,2,0,02,0,12,17394,0,0,A57,
010669825,CLASS OF 83 THANKSGIVING DRIVE INC,% ROBERT SUDDERTH,121 JASMINE CT,BELLE CHASSE,LA,70037-1656,0000,03,3,1000,200302,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,P20,
010688260,STRONG TOWER CHRISTIAN CENTER,% PATRICIA MOORE,PO BOX 861,AMITE,LA,70422-0861,0000,03,3,7000,200311,1,10,000000000,1,01,,0,0,06,0,01,,,,X21,
010690305,ROAD RUNNERS CLUB OF AMERICA,% DIANE WEISS,49 KAREN DR,COVINGTON,LA,70433-0915,2702,03,9,1000,197603,0,15,300288000,5,01,201312,0,0,02,0,12,0,0,0,,15TH STREET FLYERS
010693999,FONTAINEBLEAU HIGH CRIMSON BAND BOOSTER CLUB,% PRESDENT,PO BOX 2585,MANDEVILLE,LA,70470-2585,0000,03,3,1200,200303,1,16,000000000,5,01,201206,3,4,01,0,06,34342,227877,175302,A12,
010694772,ALL FOR ONE-AFO FOUNDATION,% HAROLD BATTISTE,3443 ESPLANADE AVE,NEW ORLEANS,LA,70119-2916,0000,03,3,1000,200212,1,15,000000000,1,01,201112,0,0,02,0,12,0,0,0,A68,
010699574,IZZY MOVING DANCE THEATRE,% DANA BREWER-PLAZINIC,15 GLEN LOOP,COVINGTON,LA,70435-9503,0000,03,3,1000,200302,1,04,000000000,1,25,201312,0,1,00,1,12,0,1,,A62,
010707958,330 CAMP STREET INC,% WILLIAM J BURNELL,330 CAMP ST,NEW ORLEANS,LA,70130-2804,0000,02,3,1000,200211,2,00,000000000,1,01,201312,4,3,01,0,12,380120,78000,78000,S47,
010709703,INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS,% GIZZELLE BOZONIER,1601 PERDIDO ST,NEW ORLEANS,LA,70112-1262,0264,05,9,3000,194012,0,00,000000000,5,01,201312,0,0,02,0,12,0,0,0,,1904 NFFE FL I A M & A W
