EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010002847,HULLS COVE NEIGHBORHOOD ASSOCIATION,% JOANNE SOUSA,PO BOX 126,HULLS COVE,ME,04644-0126,0000,03,3,1000,200007,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,A80,
010017496,AGAMENTICUS YACHT CLUB OF YORK,,PO BOX 534,YORK HARBOR,ME,03911-0534,0000,03,3,2000,199303,1,15,149000000,1,01,201312,4,4,01,0,12,241659,119811,117157,,
010018555,ALPHA TAU OMEGA FRATERNITY,,54 SPRING ST,OLD TOWN,ME,04468-5107,0287,07,9,1000,194101,2,00,036000000,5,01,201212,0,0,02,0,12,0,0,0,,BETA UPSILION MAINE-ORONO
010018605,AMALGAMATED TRANSIT UNION,% RICHARD PRICE,PO BOX 979,PORTLAND,ME,04104-0979,0155,05,9,3000,194010,2,00,263000000,5,01,201312,2,3,01,0,12,19425,67508,67508,,714 LOCAL
010018922,AMERICAN LEGION AUXILIARY,,317 FOUR ROD RD,WARREN,ME,04864-4219,0964,19,9,1000,194610,1,00,319000000,5,01,201305,4,4,01,0,05,190296,245402,245402,,178 DANIEL E LAMBERT MEMORIAL
010018923,AMERICAN LEGION POST 0019 THOMAS W COLE POST,,PO BOX 801,SANFORD,ME,04073-0801,0925,19,9,1000,194603,1,00,907908000,1,01,201305,4,4,01,0,05,255499,193424,90180,,
010018927,AMERICAN LEGION POST 0005 BOURQUE LANIGAN,,PO BOX 41,WATERVILLE,ME,04903-0041,0925,19,9,1000,194603,1,00,907908000,1,01,201212,5,5,01,0,12,676628,803229,155539,,
010018930,AMERICAN LEGION,% RONALD A SAILOR,PO BOX 900,WATERVILLE,ME,04903-0900,0925,19,9,1000,194603,1,00,907908000,5,01,201404,5,5,01,0,04,937246,759953,759953,,22 DEPT OF MAINE
010019705,ANCIENT FREE & ACCEPTED MASONS OF MAINE GRAND LODGE,,PO BOX 430,HOLDEN,ME,04429-0430,0275,10,6,1000,194101,1,00,260279000,5,01,201303,6,5,01,0,03,1469762,872824,550384,,
010019708,ANCIENT FREE & ACCEPTED MASONS OF MAINE,% LAWRENCE PRINGLE,20 GABRADAK LN,CHELSEA,ME,04330-1377,0275,10,9,1000,194101,1,00,036000000,5,01,201312,0,0,02,0,12,0,0,0,,35 BETHLEHEM LODGE
010021545,MAINE STATE CHAMBER OF COMMERCE,,125 COMMUNITY DR STE 101,AUGUSTA,ME,04330-8157,0000,06,3,1000,192110,2,00,205000000,1,01,201306,5,6,01,0,06,509794,1516835,1479483,,
010022320,AUGUSTA COUNTRY CLUB,,19 HAMMONS GROVE,MANCHESTER,ME,04351-0000,0000,07,3,1000,192908,2,00,280000000,1,01,201312,5,6,01,0,12,886328,1695260,1457148,,
010022415,KENNEBEC VALLEY CHAMBER OF COMMERCE,,21 UNIVERSITY DR,AUGUSTA,ME,04330-8042,0000,06,3,3000,194508,2,00,200402403,1,01,201212,4,4,01,0,12,222426,456984,446873,,
010024155,BANGOR BAND,% BANGOR PARKS & RECREATION,647 MAIN STREET,BANGOR,ME,04401-6871,0000,03,3,1000,198407,1,15,090000000,5,01,201309,0,0,02,0,09,0,0,0,,
010024245,BANGOR REGION CHAMBER OF COMMERCE,,20 SOUTH ST,BANGOR,ME,04401-6444,0000,06,3,3000,194501,2,00,403279000,1,01,201312,4,5,01,0,12,148628,588407,578334,,
010024455,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,108 ODLIN RD,BANGOR,ME,04401-6704,1156,08,9,1000,197210,1,00,279265000,5,01,201403,5,6,01,0,03,954015,1517972,404826,,244 BANGOR
010024645,BANGOR SYMPHONY ORCHESTRA,,PO BOX 1441,BANGOR,ME,04402-1441,0000,03,3,1200,196806,1,15,119059000,1,01,201306,6,6,01,0,06,1525747,1137407,682959,A69Z,
010024907,BAR HARBOR VILLAGE IMPROVEMENT ASSOCIATION,% S F GOLDTHWAIT JR,19 MOUNTAIN AVE,BAR HARBOR,ME,04609-1008,0000,03,3,1000,199603,1,03,402404000,1,01,201307,5,3,00,1,07,594685,44535,,S20Z,
010027415,ANCIENT FREE & ACCEPTED MASONS OF MAINE,% MALCOLM GATER,1 TUFTS RD,BELFAST,ME,04915-7513,0275,10,9,1000,000000,0,00,000000000,0,01,201403,0,0,02,0,03,0,0,0,,24 BELFAST LODGE
010027741,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,PO BOX 2206,AUGUSTA,ME,04338-2206,1156,08,9,1000,195110,1,00,279265000,5,01,201403,5,6,01,0,03,679933,1761086,316995,,964 AUGUSTA
010027746,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,86 MAIN ST,HOULTON,ME,04730-2121,1156,08,9,1000,195110,1,00,279265000,5,01,201403,4,4,01,0,03,299620,379060,148911,,835 HOULTON
010027747,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,LEWISTON LODGE OF ELKS,LEWISTON,ME,04240-0000,1156,08,9,1000,195110,1,00,279265000,5,01,201303,5,4,01,0,03,628509,419084,96892,,LEWISTON LODGE 371
010027748,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,1945 CONGRESS ST,PORTLAND,ME,04102-1903,1156,08,9,1000,195110,1,00,279265000,5,01,201403,4,5,01,0,03,336501,902212,155618,,0188 PORTLAND
010027751,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,PO BOX 983,ROCKLAND,ME,04841-0983,1156,08,9,1000,195110,1,00,279265000,5,01,201303,6,6,01,0,03,1082770,1699058,262728,,1008 ROCKLAND
010028980,BETA THETA PI FRATERNITY,% ACCESSIBLE ACCOUNTANT,12 MUNSON ROAD,ORONO,ME,04469-0001,0315,07,9,1000,196710,2,00,319036000,5,01,201306,1,4,01,0,06,8582,219603,219603,,161 BETA ETA CHAPTER
010029480,BIDDEFORD SACO CHAMBER OF COMMERCE INC,,28 WATER ST STE 1,BIDDEFORD,ME,04005-5604,0000,06,3,1000,194511,2,00,200000000,1,01,201212,4,4,01,0,12,107776,259692,241366,,
010032215,BOOTHBAY HARBOR YACHT CLUB,,PO BOX 497,W BOOTHBY HBR,ME,04575-0497,0000,07,3,1000,196808,2,00,280318319,1,01,201311,6,5,01,0,11,1884066,838825,835692,,
010039552,CAMDEN YACHT CLUB,,PO BOX 204,CAMDEN,ME,04843-0204,0000,07,3,1000,196710,2,00,319317000,1,01,201212,4,4,01,0,12,483117,443703,424033,,
010043280,PORTLAND REGIONAL CHAMBER,,443 CONGRESS STREET,PORTLAND,ME,04101-3531,0000,06,3,3000,195201,2,00,200403279,1,01,201306,5,6,01,0,06,921183,1633387,1172549,,
010043285,ANDROSCOGGIN COUNTY CHAMBER OF COMMERCE,,PO BOX 59,LEWISTON,ME,04243-0059,0000,06,3,3000,194102,2,00,200403279,1,01,201312,5,5,01,0,12,842551,634837,606105,,ATTN ANNA ROSE GOSSELIN
010043788,COMMUNITY CHRISTMAS PROJECT INC,% EARL DEAN,PO BOX 581,PITTSFIELD,ME,04967-0581,0000,03,3,1000,199612,1,15,994560000,1,01,201210,0,0,02,0,10,0,0,0,P20,
010044660,CHRISTIAN CIVIC LEAGUE OF MAINE INC,,70 SEWALL ST,AUGUSTA,ME,04330-6333,0000,04,3,1000,194310,2,00,059029000,1,01,201312,2,4,01,0,12,22988,162681,162681,X20Z,
010052240,CUMBERLAND BAR ASSOCIATION,% PETRUCCELLI MARTIN & HADDOW LLP,PO BOX 434,FREEPORT,ME,04032-0434,0000,06,3,2000,193408,2,00,061205040,1,01,201312,0,0,02,0,12,0,0,0,,CLEAVES LAW LIBRARY
010052260,CUMBERLAND CLUB,,116 HIGH ST,PORTLAND,ME,04101-3815,0000,07,3,1000,194206,2,00,319916000,1,01,201304,6,6,01,0,04,1213836,1252178,506382,N50,
010055140,HALLOWELL CENTENNIAL BURIAL GROUND ASSN INC,,10 LITCHFIELD RD,HALLOWELL,ME,04347-1109,0000,13,3,1000,197603,0,00,000000000,5,01,201306,4,3,02,0,06,451225,36902,33033,,
010056642,DEMERRITT CEMETERY ASSOC,% VERA PARENT,PO BOX 78,PERU,ME,04290-0078,0000,13,3,2000,194710,1,00,900000000,1,01,201312,0,0,02,0,12,0,0,0,,
010056837,EASTERN MAINE ELECTRIC COOPERATIVE INC,% SCOTT HALLOWELL CONTROLLER,21 UNION ST,CALAIS,ME,04619-1819,0000,12,3,1000,196406,2,00,279000000,3,01,201312,8,8,01,0,12,37224678,15024960,15024960,,
010056995,NATIONAL KITCHEN & BATH ASSO,% PAMELA SHANGRAW,3 PARK ST,KENNEBUNK,ME,04043-7062,3379,06,9,2000,199407,2,00,200000000,5,01,201312,0,0,02,0,12,0,0,0,,MAINE CHAPTER
010061300,FRATERNAL ORDER OF EAGLES,,164 WATER ST,SKOWHEGAN,ME,04976-1735,0102,08,9,1000,199108,2,00,260000000,5,01,201305,4,4,01,0,05,144618,388309,77709,,1457 AERIE
010061310,FRATERNAL ORDER OF EAGLES,,184 SAINT JOHN ST,PORTLAND,ME,04102-3021,0102,08,9,1000,199108,2,00,260000000,5,01,201305,5,6,01,0,05,987565,3040004,3019136,,565 AERIE
010063057,FRATERNAL ORDER OF EAGLES,,55-57 BIRCH STREET,BIDDEFORD,ME,04005-0000,0102,08,9,1000,199108,2,00,260000000,5,01,201405,5,5,01,0,05,615699,706332,706332,,804 AERIE
010063430,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,76 INDUSTRIAL ST,WATERVILLE,ME,04901-5774,1156,08,9,1000,195110,1,00,279265000,5,01,201403,6,6,01,0,03,1120425,1711864,344850,,905 WATERVILLE
010063783,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,% PETER BEDARD,PO BOX 1347,ELLSWORTH,ME,04605-1347,0239,04,9,3000,194012,2,00,602911000,5,01,201306,0,0,02,0,06,0,0,0,,13678 ELLSWORTH
010067817,INDEPENDENT ORDER OF ODD FELLOWS,% MARTIN LEEMAN,PO BOX 16,NEW HARBOR,ME,04554-0016,0028,08,9,1000,197211,1,00,036382265,5,01,201406,0,0,02,0,06,0,0,0,,53 MARINERS LDG
010072838,FRATERNAL ORDER OF EAGLES,,1327 SABATTUS RD,LEWISTON,ME,04240-2115,0102,08,9,1000,199108,2,00,260000000,5,01,201305,4,4,01,0,05,291141,365826,219641,,618 AERIE
010078060,HENRIETTA D GOODALL HOSPITAL INC,,25 JUNE ST,SANFORD,ME,04073-2621,0000,03,3,1000,193908,1,12,150000000,1,01,201205,9,9,01,0,05,,,,E220,
010079380,CPORT CREDIT UNION,% EUGENE ARDITO,50 RIVERSIDE INDUSTRIAL PKWY,PORTLAND,ME,04103-1426,2048,14,9,1000,196911,2,00,921922000,5,01,201212,9,7,01,0,12,144513177,6907239,6907058,,
010083190,GREENWOOD CEMETERY ASSOCIATION,,PO BOX 1323,BIDDEFORD,ME,04005-1323,0000,13,3,2000,197502,2,00,900000000,1,01,201403,6,4,01,0,03,1281087,270960,172329,,
010086202,HARBOR CLUB INC,% THERESA MERCHANT,PO BOX 884,MOUNT DESERT,ME,04660-0884,0000,07,3,1000,194702,2,00,318000000,1,01,201310,6,5,01,0,10,1448657,689246,689246,,
010092600,HOPE CEMETERY CORPORATION,,PO BOX 211,KENNEBUNK,ME,04043-0211,0000,13,3,2000,195209,1,00,900000000,1,01,201303,5,4,01,0,03,641755,415594,113763,,
010095329,IMPROVED ORDER OF REDMEN OF MAINE,% DAVID K THOMAS,44 THOMAS RD,STANDISH,ME,04084-5459,0280,10,6,1000,194101,1,00,279265000,5,01,201212,4,3,01,0,12,405735,60032,60032,,GREAT COUNCIL
010095413,INDEPENDENT ORDER OF ODD FELLOWS,% MICHAEL ANDERSON,16 LORDS LN,SOUTH BERWICK,ME,03908-1734,0028,08,9,1000,196205,1,00,036000000,5,01,201306,0,0,02,0,06,0,0,0,,MAINE GRAND ENCAMPMENT
010095414,INDEPENDENT ORDER OF ODD FELLOWS,% KEN GRANT,80 CARON LN,AUBURN,ME,04210-4289,0028,08,9,1000,196205,1,00,036382265,5,01,201306,6,6,01,0,06,4239303,1936099,958416,,MAIN GL & 1 GRAND JURISDICTIONAL LD
010095497,INDEPENDENT ORDER OF ODD FELLOWS,% BOYD NORMAN,443 CROSS RD,SWANVILLE,ME,04915-4640,0028,08,9,1000,197211,1,00,036382265,5,01,201406,0,0,02,0,06,0,0,0,,82 SEARS LODGE
010095599,INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS,% MARK NADEAU,245 PAMOLA PARK,MILLINOCKET,ME,04462-2105,0264,05,9,3000,194012,2,00,263566279,5,01,201312,0,0,02,0,12,0,0,0,,362
010095705,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS,,PO BOX 1289,LEWISTON,ME,04243-1289,0064,05,9,3000,194012,2,00,263264279,5,01,201312,4,4,01,0,12,128450,364267,364267,,0567 LOCAL
010095740,INTERNATIONAL BROTHERHOOD OF TEAMSTERS,,144 THADEUS ST,S PORTLAND,ME,04106-6239,0320,05,9,3000,194102,2,00,911000000,5,01,201312,4,6,01,0,12,327523,2227771,2226702,,340 TCWH
010095770,UNITED STEELWORKERS,% JAMES O JOHNSON,PO BOX 1320,BUCKSPORT,ME,04416-1320,0260,05,9,3000,194012,2,00,263059269,5,01,201312,4,4,01,0,12,169290,139220,139220,,01188 LOCAL
010096117,ISLAND COUNTRY CLUB,,442 SUNSET RD,DEER ISLE,ME,04627-3869,0000,07,3,1000,200002,2,00,000000000,1,01,201312,5,4,01,0,12,661500,427131,427131,N50,
010096152,ISLAND HOME CLUB,% J COSSEBOOM,156 MEADOW LN,NEW GLOUCESTR,ME,04260-3630,0000,07,3,1000,199807,2,00,319000000,1,01,201312,3,4,01,0,12,80313,130351,130351,,
010100593,KENNEBUNK RIVER CLUB,,PO BOX 994,KENNEBUNKPORT,ME,04046-0994,0000,07,3,1000,196007,2,00,318319317,1,01,201212,6,5,01,0,12,4231284,560005,560005,,
010102025,KIWANIS INTERNATIONAL INC,% C/O BERRY DUNN MCNEIL PARKER,499 BROADWAY 253,BANGOR,ME,04401-3460,0026,04,9,1000,195703,2,00,349000000,5,01,201309,0,0,02,0,09,0,0,0,,K01300 BANGOR
010102346,KNIGHTS OF PYTHIAS OF MAINE GRAND LODGE,% CLEMENT R WORCESTER,PO BOX 39,HANOVER,ME,04237-0039,0012,08,6,1000,194006,1,00,279000000,5,01,201212,0,0,02,0,12,0,0,0,,
010104905,LAUREL HILL CEMETERY ASSOCIATION,,293 BEACH ST,SACO,ME,04072-2935,0000,13,3,1000,199010,1,00,900000000,5,01,201311,7,6,01,0,11,9781255,3116262,946852,,
010112977,ANCIENT ACCEPTED SCOTTISH RITE OF FREE MASONRY NMJ,,PO BOX 303,BOWDOINHAM,ME,04008-0303,0259,10,9,1000,194012,1,00,279265319,5,01,201307,6,5,01,0,07,3440508,663163,282640,,VALLEY OF PORTLAND CONSISTORY
010113840,AMERICAN FEDERATION OF LABOR & CONGRESS OF INDUSTRIAL ORGS,,21 GABRIEL DR,AUGUSTA,ME,04330-7852,1338,05,9,3000,195605,2,00,263264480,5,01,201212,4,5,01,0,12,,,,,AFL-CIO MAINE STATE
010114035,MAINE EDUCATION ASSOCIATION,,35 COMMUNITY DR,AUGUSTA,ME,04330-8005,0000,05,3,3000,197604,2,00,261263033,1,01,201308,6,7,01,0,08,3745836,8342925,8165339,,
010114110,MAINE WATER UTILITIES ASSOCIATION,,150 CAPITOL ST STE 5,AUGUSTA,ME,04330-6858,0000,06,0,1000,000000,0,00,000000000,1,01,201309,4,4,01,0,09,150171,381286,381286,,
010114140,MAINE WOMANS CHRISTIAN TEMPERANCE,% REGINALD A PETERS,714 CONGRESS ST,PORTLAND,ME,04102-3306,0000,04,2,1000,192911,2,00,059328029,1,01,201308,4,2,02,0,08,283014,19276,14776,,
010114721,MECHANIC FALLS MAPLE GROVE CEMETERY INC,,67 ROBERTS RD,NORWAY,ME,04268-5328,0000,13,3,1000,194105,1,00,900000000,1,01,201312,0,0,02,0,12,0,0,0,,
010116360,WATERVILLE MASONIC ASSOCIATION,% JOSHUA A WARD,20 ED LN,BENTON,ME,04901-0000,0000,02,3,1000,198002,2,00,912260000,1,01,201310,0,0,02,0,10,0,0,0,,
