EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010554145,LUCIAN A & JERRI JETER HARVEY FOUNDATION,% LUCIAN A HARVEY JR,2222 EASTOVER DR,JACKSON,MS,39211-6721,0000,03,3,1000,200205,1,04,000000000,1,01,201312,4,3,00,1,12,213424,25222,,T22,
010558961,HARRISBURG CULTURAL AND SOCIAL SERVICES CENTER INC,,PO BOX 931,TUPELO,MS,38802-0931,0000,03,3,1000,200304,1,15,000000000,1,01,201312,6,4,01,0,12,1453480,336539,250185,P80,
010561348,PHI THETA KAPPA FRATERNITY,% CHIEF FINANCIAL OFFICER,PO BOX 13729,JACKSON,MS,39236-3729,1350,03,9,2000,195609,1,15,059000000,1,01,201312,0,0,02,0,12,0,0,0,,BETA KAPPA IOTA CHAPTER
010564177,SAP INC CDC-SERVING ALL PEOPLE,% LAWRENCE C SMITH,PO BOX 662,BROOKHAVEN,MS,39602-0662,0000,03,3,1270,200209,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,P50,
010569087,CHURCH OF CHRIST CHRISTIAN CNTR NON-DENOMINATIONAL EST 2002,,6731 SANDBOURNE W,OLIVE BRANCH,MS,38654-7543,0000,03,3,7000,200207,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010577626,CHRISTIAN METHODIST EPISCOPAL CHURCH,,430 W GILMORE ST,SENATOBIA,MS,38668-2523,8511,03,9,7000,198009,1,10,001002000,5,01,,0,0,06,0,12,,,,,MOUNT OLIVE CME CHURCH
010605437,REPENTANCE IN FAITH MINISTRIES INTERNATIONAL,,PO BOX 261,BELDEN,MS,38826-0261,0000,03,3,7000,200209,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010623527,SONS OF CONFEDERATE VETERANS INC,% JAMES TAYLOR,PO BOX 1263,OXFORD,MS,38655-1263,5443,03,9,1200,200708,1,15,119995000,1,01,201307,0,0,02,0,07,0,0,0,W30,CALHOUN AVENGERS CAMP 1969
010638550,JERUSALEM MISSIONARY BAPTIST CHURCH,% REV CRAIG FIELDS,PO BOX 190,PLANTERSVILLE,MS,38862-0000,0000,03,3,1000,200209,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010638617,GOOD SHEPARD OUTREACH MINISTRIES INTERNATIONAL,% OBIE S FOX,574 HARDIN CIR,PONTOTOC,MS,38863-7257,0000,03,3,7000,200301,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010670794,TOGETHER ENHANCING AUTISM AWARENESS IN MISSISSIPPI INC,% YEAGER MARK,PO BOX 37,MIZE,MS,39116-0037,0000,03,3,1000,200512,1,15,000000000,1,01,201312,5,4,01,0,12,507542,335194,333753,G84,
010672957,WORD OF FAITH OUTREACH MINISTRIES Q W INC,% QUINCY WASHINGTON,108 LE FLEURS DR,VICKSBURG,MS,39180-8850,0000,03,3,1000,200206,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,P20,
010689733,LITTLE AMBASSADOR DAY CARE CENTER AND AMBASSADORS ACADEMY,% THERESA BALL,550 SALEM RD,PICAYUNE,MS,39466-7466,0000,03,3,2100,200205,1,15,000000000,1,01,201312,2,3,01,0,12,14639,86934,86934,P33,
