EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010571299,HILLSIDE CHURCH,% TERESA PARKER,5685 HWY 93 S,WHITEFISH,MT,59937-8523,1489,03,9,7000,196007,1,10,001268000,1,01,,0,0,06,0,12,,,,,
010613656,CHAPEL OF HOPE MINISTRIES OF ROUNDUP,% MERLE & LOUISE HUNT,16843 HIGHWAY 12 WEST,ROUNDUP,MT,59072-0000,0000,03,3,7000,200206,1,10,000000000,1,01,,3,3,06,0,09,,,,X20,YCH
010649149,MONTANA 4-H FOUNDATION INC,% TANA TURLEY,116 1ST ST W,ROUNDUP,MT,59072-2835,5954,03,9,2000,201310,1,15,000000000,1,01,201012,0,0,01,0,09,0,0,0,,MUSSELSHELL GOLDEN VALLEY 4H COUNCI
010667433,KNIGHTS OF COLUMBUS,% WM TODD WOHLMAN FIN SEC,PO BOX 851,STEVENSVILLE,MT,59870-0851,0188,08,9,1000,194010,1,00,000000000,5,01,201312,0,0,02,0,12,0,0,0,,13093 OUR LADY OF THE MOUNTAINS
010671365,GARDEN CITY NEIGHBORS INC,% PETER B HANCE,1235 34TH STREET,MISSOULA,MT,59801-8516,0000,03,3,1000,200208,1,16,000000000,1,01,201303,6,4,01,0,03,1184710,180115,180115,L21,
010724149,FORTUNA INC,% HERTHA LUND,PO BOX 5000,GARDINER,MT,59030-5000,0000,03,3,1000,200305,1,10,000000000,1,01,,0,0,06,0,04,,,,X11,
010747657,TOASTMASTERS INTERNATIONAL,% KARI G SCHAUSS,712 W SPRUCE ST APT 305,MISSOULA,MT,59802-4048,0820,03,9,2000,194505,1,16,059319000,1,01,201312,0,0,02,0,12,0,0,0,,8712 SHOOTIN THE BULL CLUB
010751896,MEAGHER COUNTY SPORTSMEN ASSOCIATION,% JOANNE CUMMINS,PO BOX 582,WHT SPHR SPGS,MT,59645-0582,0000,07,3,1000,200306,2,00,000000000,5,01,201312,0,0,02,0,12,0,0,0,N50,
010754227,RAVALLI COUNTY AVIATION SAFETY FOUNDATION INC,% C/O RON KULLICK,PO BOX 2217,HAMILTON,MT,59840-4217,0000,03,3,1200,200308,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,W11,
010758596,ARTEMIS INSTITUTE,% LORI RYKER,3556 BEAR CANYON RD,BOZEMAN,MT,59715-6671,0000,03,3,2000,200305,1,16,000000000,1,01,201212,3,4,01,0,12,93910,183023,183023,B99,
010770788,SHILOH SERVICES INC,% MARY BREESE,PO BOX 87,LIBBY,MT,59923-0087,0000,03,3,1000,200306,1,16,000000000,1,01,201312,0,0,02,0,12,0,0,0,P20,
010788133,AMERICAN COVENANT SENIOR HOUSING FOUNDATION INC,% GERRY FRITTS,234 SHELTER VALLEY DR,KALISPELL,MT,59901-7589,0000,03,3,1000,200203,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,L22,
010788363,NORTHEAST MONTANA FORT PECK TRIBAL M A S H UNIT,% TEDDY KASCHUBE,PO BOX 463,POPLAR,MT,59255-0463,0000,03,3,4000,200311,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,D40,NE MT FPT M A S H UNIT
010832941,HEARTS CENTER,% PAUL HAUGEN,PO BOX 277,LIVINGSTON,MT,59047-0277,0000,03,3,7000,200704,1,10,000000000,1,01,,0,0,06,0,12,,,,T20,
010839098,NATURAL CEMETERIES,% PETER C MEYER,40060 HWY 83,SWAN LAKE,MT,59911-0000,0000,13,3,1000,200609,1,00,000000000,1,01,201306,6,1,02,0,06,1218583,2988,2988,Y50,
010845299,DAYTON PROCTOR PARK ASSOCIATION,% PAM OMARA,PO BOX 73,DAYTON,MT,59914-0073,0000,03,3,1000,200706,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,N32,
010870053,CHILDRENS FUND OF ETHIOPIA,% STEFNE TAHTA,PO BOX 224,MISSOULA,MT,59806-0224,0000,03,3,1000,200702,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,Q30,
010875743,WHITTIER PARENT ORGANIZATION,% SARAH LOEN,511 N 5TH AVE,BOZEMAN,MT,59715-3419,0000,03,3,1000,200710,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,B80,
010920452,DEPARTMENT OF MONTANA LADIES AUXILIARY TO THE VFW OF THE U S,% MONICA MILLS,PO BOX 156,POLSON,MT,59860-0156,5790,19,9,1000,201010,2,00,000000000,5,01,201306,0,0,02,0,06,0,0,0,W30,2986 FULLERTON LADIES AUXILIARY
010932053,OPPORTUNITIES FOR ALL SCHOLARSHIP INC,% NANCY THORNTON,PO BOX 1134,CHOTEAU,MT,59422-1134,0000,03,3,2000,201003,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,B82,
010949431,SUMMER SOLSTICE PRCA RODEO INC,% MELISSA GRAHAM,PO BOX 1483,GREAT FALLS,MT,59403-1483,0000,03,3,1000,201301,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,N12,
