EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010442447,STATE RISK AND INSURANCE MANAGEMENT ASSOCIATION,% RISK MANAGEMENT SECTION,547 SOUTH 7TH STREET SUITE 184,BISMARCK,ND,58504-5859,0000,03,3,1000,199901,1,16,998000000,5,01,201312,4,4,01,0,12,173089,232653,232653,W03,
010525386,BLUE KNIGHTS,,PO BOX 12462,GRAND FORKS,ND,58208-2462,0000,10,3,1000,201301,2,00,000000000,1,01,201312,0,0,02,0,12,0,0,0,Y42,NDI
010575746,SAINT GIANNAS HOME INC,% MARY PAT JAHNER,15605 COUNTY ROAD 15,MINTO,ND,58261-9476,0000,03,3,1200,200207,1,15,000000000,1,01,201312,5,5,01,0,12,942554,690934,690934,P40,
010587620,ABUNDANT FAITH MINISTRIES,,PO BOX 181,LANGDON,ND,58249-0181,2763,03,9,7000,197707,1,10,000000000,0,01,,0,0,06,0,04,,,,,REV LINWOOD W HEIRONIMUS JR
010589927,MINOT COMMUNITY FOUNDATION,% MINOT COMMUNITY FOUNDATION,606 BURDICK EXPRESSWAY W NO A,MINOT,ND,58701-0000,0000,03,3,1000,200205,1,17,928000000,1,01,201312,8,6,01,0,12,17152921,2020742,2012071,S20,
010698137,NATIONAL FEDERATION OF MUSIC CLUBS,% KATHY HOMAN,8651 48TH ST NE,DEVILS LAKE,ND,58301-9558,3832,03,9,2000,200202,1,16,000000000,5,01,201306,0,0,02,0,06,0,0,0,A68,DEVILS LAKE MUSIC CLUB
010847026,LITCHVILLE COMMUNITY CENTER INC,% NORMA MIEDEMA,10831 COUNTY ROAD 35,LITCHVILLE,ND,58461-9653,0000,03,3,1200,200603,1,15,000000000,1,01,201306,2,2,02,0,06,12620,11144,11144,P28,
010854483,UNITED STATES BOWLING CONGRESS INC,% EDITH MCNAMARA,4355 79TH AVE NW,NEW TOWN,ND,58763-9569,4348,03,9,1000,200409,1,16,000000000,1,01,201307,0,0,02,0,07,0,0,0,N70,83189 STANLEY USBC WBA
010868557,GRAND FORKS DOG TRAINING CLUB INC,% LEE ANDERSON,707 22ND AVE S,GRAND FORKS,ND,58201-6943,0000,04,3,3000,200710,2,00,000000000,1,01,201312,2,2,02,0,12,17907,18166,18166,B99,
010916120,TURTLE MOUNTAIN CDFI,% CHRYSTEL CORNELIUS,PO BOX 204,BELCOURT,ND,58316-0204,0000,03,3,2000,200910,1,15,000000000,1,01,201212,5,4,01,0,12,795572,256605,256605,S40,
010918275,VFW DEPT OF NORTH DAKOTA LADIES AUXILIARY,% BETTY BECK,PO BOX 567,NORTHWOOD,ND,58267-0567,5718,19,9,1000,201006,2,00,000000000,5,01,201406,0,0,02,0,06,0,0,0,,2707 NORTHWOOD LADIES AUXILIARY
010950389,NORTHWEST LANDOWNERS ASSOCIATION,% ROBERT N GRANT,6050 OLD HIGHWAY 2,BERTHOLD,ND,58718-9007,0000,06,3,2000,201202,2,00,000000000,1,01,201312,2,3,02,0,12,23171,34000,34000,S41,
017526900,LOGAN COUNTY INTERAGENCY,% MARIA REGNER,301 BROADWAY,NAPOLEON,ND,58561-7010,0000,03,3,1000,200204,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,S21,
020569393,INDO-AMERICAN ASSOCIATION OF GREAT PLAINS,% PANJINI SIVANNA,PO BOX 10415,FARGO,ND,58106-0415,0000,03,3,1000,200307,1,16,000000000,1,01,201312,0,0,02,0,12,0,0,0,A20,
020592926,FRIENDS OF THE KINDRED PUBLIC LIBRARY,% FRIENDS PRESIDENT,PO BOX 63,KINDRED,ND,58051-0063,0000,03,3,1200,200207,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,B11,
020735781,CANDO AREA FOOD PANTRY,% DAVID BENSON,PO BOX 576,CANDO,ND,58324-0576,0000,03,3,1000,200601,1,15,000000000,1,01,201403,0,0,02,0,03,0,0,0,K31,CAFP
020752258,BERTHOLD SPORTSMEN CLUB INC,% JOE LAUTENSCHLAGER,PO BOX 65,BERTHOLD,ND,58718-0065,0000,03,3,2100,200605,1,16,000000000,1,01,201312,2,3,01,0,12,21028,89758,41206,C30,
020755227,UNITED STATES BOWLING CONGRESS INC,% DAVID ROBERTS,204 1ST AVE S,NEW ROCKFORD,ND,58356-1808,4348,03,9,1000,200409,1,16,000000000,1,01,201307,0,0,02,0,07,0,0,0,N70,80833 NEW ROCKFORD USBC
020807366,MARION FIRE DEPARTMENT,% JON ALBER,PO BOX 9,MARION,ND,58466-0009,0000,03,3,1000,200711,1,15,000000000,1,01,201312,3,3,02,0,12,89875,40207,40207,M24,
030522500,SPIRIT ROOM,% MAUREEN KELLY JONASON,111 BROADWAY N,FARGO,ND,58102-4925,0000,03,3,1000,200408,1,15,000000000,1,01,201312,2,3,01,0,12,23139,77322,77322,A99,
030587770,UNITED STEELWORKERS,% TERRY SCHAFER,PO BOX 25,HEBRON,ND,58638-0025,0260,05,9,3000,194012,2,00,000000000,5,01,201312,0,0,02,0,12,0,0,0,,901 LOCAL
042078360,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,% MANDAN DACOTAH LIONS,PO BOX 74,MANDAN,ND,58554-0074,0239,04,9,3000,194012,2,00,911520000,5,01,201306,0,0,02,0,06,0,0,0,,78360 MANDAN DACOTAH
