EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010658759,AMERICA FIRST FOUNDATION,% M L SULLIVAN,1004 FARNAM ST STE 400,OMAHA,NE,68102-1885,0000,03,3,1000,200205,1,04,000000000,1,01,201212,5,4,00,1,12,976559,442629,,T21,
010741330,OMAHA HOCKEY HALL OF FAME,% GARY ANDERSON,3515 N 205TH ST,ELKHORN,NE,68022-4715,0000,03,3,1200,200403,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,T20,
010751719,ASSOCIATION OF CLINICAL RESEARCH PROFESSIONALS,% HOLLY DESPIEGELAERE,15666 LAMP CIR,OMAHA,NE,68118-2038,3606,03,9,2000,198412,0,16,000000000,1,01,201212,0,0,02,0,12,0,0,0,,GREAT PLAINS CHAPTER OF ACRP
010780152,OMAHA TENNIS ASSOCIATION DEVELOPMENT FUND,% OTA,PO BOX 8313,OMAHA,NE,68108-0313,0000,03,3,1000,200607,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,N66,
010789297,TEMPLO FUENTE DE VIDA,,PO BOX 78,SCOTTSBLUFF,NE,69363-0078,2197,03,9,7000,197109,1,10,001000000,5,01,,0,0,06,0,12,,,,,
010794555,OMAHA PHONICS ALL STARS INC,% JOHN LATENSER,PO BOX 24985,OMAHA,NE,68124-0985,0000,03,3,1000,200812,1,15,000000000,1,01,201012,0,0,00,0,12,0,0,0,B99,
010803924,HEARTLAND LUTHERAN HIGH SCHOOL FOUNDATION,% CURTIS FISCHER,3900 W HUSKER HWY,GRAND ISLAND,NE,68803-6001,0000,03,3,1700,200403,1,15,000000000,1,01,201306,4,4,01,0,06,286132,199012,199012,B82,
010827441,ASHLAND DOG POUND FOUNDATION,% DORIS DELESKI,305 N 16TH ST,ASHLAND,NE,68003-1720,0000,03,3,1000,200506,1,15,000000000,1,01,201212,0,0,02,0,12,0,0,0,D20,
010840232,UNITED STATES BOWLING CONGRESS INC,% HEATHER MOORE,PO BOX 41,EDGAR,NE,68935-0041,4348,03,9,1000,200409,1,16,000000000,1,01,201307,0,0,02,0,07,0,0,0,N70,81116 EDGAR USBC
010873337,CHA INCORPORATED,% IRI GILLILAND,1223 E 6TH ST,GRAND ISLAND,NE,68801-2825,0000,03,3,2000,200709,1,11,000000000,1,01,201106,1,0,02,0,06,1540,0,0,B20,
010884183,FIESTA MEXICANA OF THE HEARTLANDS,% EMILY BERNER,PO BOX 81555,LINCOLN,NE,68501-1555,0000,03,3,1000,200711,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,B90,
010906784,GRETNA BOOSTER CLUB,% PAUL GOLDENSTEIN,920 VILLAGE SQ,GRETNA,NE,68028-7854,0000,03,3,1000,200812,1,15,000000000,1,01,201405,0,0,02,0,05,0,0,0,B11,
010906791,GRETNA POST PROM COMMITTEE,% PAUL GOLDENSTEIN,920 VILLAGE SQ,GRETNA,NE,68028-7854,0000,03,3,1000,200811,1,15,000000000,1,01,201405,0,0,02,0,05,0,0,0,B94,
010909436,DISABLED AMERICAN VETERANS AUXILIARY INC,% ALICE OSTRAND,PO BOX 116,BROKEN BOW,NE,68822-0116,2473,04,9,1000,197310,2,00,908921000,5,01,201312,0,0,02,0,12,0,0,0,,41 CUSTER UNIT
010915911,PRAISE CHAPEL LINCOLN NEBRASKA,% DAVID BURROWS,1030 N 48TH ST TRLR 89,LINCOLN,NE,68504-3209,3559,03,9,7000,199508,1,10,000000000,1,01,201012,0,0,06,0,12,0,0,0,X20,
010918640,SOUTHERN SUDAN TECHNOLOGY TRAINING CENTER,% KUN DIAU,1531 S 28TH ST,OMAHA,NE,68105-2601,0000,03,3,2000,200910,1,15,000000000,1,01,201301,0,0,02,0,01,0,0,0,Q30,
010930556,BLESSIPO,% KOFFI DANSOU,8960 UNDERWOOD AVENUE,OMAHA,NE,68114-2878,0000,03,3,1000,201106,1,16,000000000,1,01,201312,0,0,02,0,12,0,0,0,B82,MISS AFRICIA NEBRASKA
010945011,UNITED CHURCH OF THE PLAINS,,PO BOX 66,DALTON,NE,69131-0066,9386,03,9,7000,198804,1,10,001000000,1,01,,0,0,06,0,12,,,,,
010955929,VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF NEBRASKA,% HOWARD DUNCAN,PO BOX 207,SCOTTSBLUFF,NE,69363-0207,1917,19,9,1000,196801,2,00,907908279,5,01,201306,0,0,02,0,06,0,0,0,,1 DISTRICT VFW
010970567,DEPARTMENT OF NEBRASKA LADIES AUXILIARY TO THE VFW OF THE US,% BETTY ESCHLIMAN,521 15TH ST,WISNER,NE,68791-2230,5757,19,9,1000,201010,2,00,000000000,5,01,201406,0,0,02,0,06,0,0,0,,WISNER VFW AUX 5767
010976351,PARENTS AND TEACHERS OF EAGLE,% TERI ROUNDS,PO BOX 414,EAGLE,NE,68347-0414,0000,03,3,1000,201108,1,15,000000000,1,01,201406,0,0,02,0,06,0,0,0,B94,PTE
012774607,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,% RAYMOND HAGBERG,RR 2 BOX 165,SPENCER,NE,68777-9775,0239,04,9,3000,196912,2,00,279319000,5,01,201306,0,0,02,0,06,0,0,0,,13309 SPENCER
013289788,FIGURE SKATING CLUB OF OMAHA,,PO BOX 24917,OMAHA,NE,68124-0917,0000,03,3,1000,199507,1,15,283000000,1,01,201305,3,4,01,0,05,40995,138120,136284,N50Z,
013515109,NORFOLK ARTS CENTER,,305 N 5TH ST,NORFOLK,NE,68701-4092,0000,03,3,2000,198002,1,15,091119000,1,01,201306,6,4,01,0,06,1988776,236801,236801,A200,
014152840,POLK SENIOR CENTER INCOPORATED,% MARIE BROWN,PO BOX 83,POLK,NE,68654-0083,0000,03,3,1000,198402,1,15,575296000,1,01,201403,0,0,02,0,03,0,0,0,,
020546735,LINCOLN CHINESE CULTURAL ASSOCIATION,% JIAQI GUO,3540 W GARFIELD ST,LINCOLN,NE,68522-9148,0000,03,3,1000,201204,1,16,000000000,1,01,201312,0,0,02,0,12,0,0,0,A23,
020562480,MIDWESTERN ASSOCIATION OF STATE MENTAL HEALTH ORGANIZATIONS,% MARK SCHUTTER,PO BOX 94949,LINCOLN,NE,68509-4949,0000,03,3,2000,200708,1,16,000000000,1,01,201106,3,3,02,0,06,88929,36400,36400,F03,
020573327,BRUCE E AND DEBRA K GREWCOCK FOUNDATION,% BRUCE E GREWCOCK DIRECTOR,13421 HAMILTON ST,OMAHA,NE,68154-5150,0000,03,3,1000,200206,1,04,000000000,1,01,201312,6,5,00,1,12,2610674,661351,,T22,
020593286,DOWN SYNDROME ALLIANCE OF THE MIDLANDS,% ANNE MANCINI,PO ZBOX 269,BOYS TOWN,NE,68010-0000,0000,03,3,1000,200208,1,15,000000000,5,01,201312,4,4,01,0,12,283358,139032,105140,T12,
020630170,PONCA ECONOMIC DEVELOPMENT CORPORATION,% MARY SNECKENBERG,941 O ST STE 107,LINCOLN,NE,68508-3626,0000,03,3,1200,201309,1,15,000000000,1,01,,0,0,01,0,09,,,,S30,
020641115,WILLARD E BORCHERS FAMILY CHARITABLE FOUNDATION,% SUSAN K ALEXANDER,PO BOX 1151,HASTINGS,NE,68902-1151,0000,03,3,1000,200302,1,04,000000000,1,01,201212,5,2,00,1,12,857485,17799,,B82,
020649207,DODGE CARES INC,% HARDING COLLIS,13917 GOLD CIR,OMAHA,NE,68144-2359,0000,03,3,2000,201301,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,P30,
020667621,PAC2 CENTER,% PAMELA K FIKE,711 N COLORADO AVE,HASTINGS,NE,68901-4462,0000,03,3,1000,201102,1,16,000000000,1,01,201307,4,5,01,0,07,262929,639786,634735,P33,
020717804,SPEAK OUT,,PO BOX 1066,SCOTTSBLUFF,NE,69363-1066,0000,03,3,1000,200501,1,15,000000000,1,01,201306,3,4,01,0,06,32037,182422,182422,P40,
020721005,OPEN CIRCLE MARTIAL ARTS,% STEVE TUCKER,58 WEST ST,GREENWOOD,NE,68366-2512,0000,03,3,1000,200408,1,15,000000000,1,01,201212,0,0,02,0,12,0,0,0,N60,
020731582,ALPHA EPSILON DELTA,% ERIN SAYER,33 CANFIELD,LINCOLN,NE,68588-0000,1106,03,9,2000,000000,0,16,065207349,5,01,201212,0,0,02,0,12,0,0,0,,188 NEBRASKA ALPHA CHAPTER OF AED
020732028,PHOENIX ACADEMY DAY SCHOOL,% NANCY LIEBERMANN,1106 N 66 ST,OMAHA,NE,68132-0000,0000,03,3,2000,200508,1,11,000000000,1,01,201212,6,5,01,0,12,1397839,693116,684135,B244,
