EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010158946,SIGMA DELTA SORORITY C/O ERIN ROWELL,,DARTMOUTH COLLEGE 5221 HINMAN,HANOVER,NH,03755-0000,0000,07,3,1000,199508,2,00,036000000,5,01,201306,2,3,01,0,06,21107,65629,65629,,
010174648,ORDER OF THE EASTERN STAR OF NEW HAMPSHIRE GRAND CHAPTER,,PO BOX 215,TILTON,NH,03276-0215,0005,08,6,1000,194005,1,00,036000000,5,01,201209,5,4,02,0,09,731680,126713,126713,,
010188907,AMERICAN FEDERATION OF LABOR & CONGRESS OF INDUSTRIAL,% CLAYTON WILKINS REC SEC,34 COMMERCIAL DR,BRENTWOOD,NH,03833-6630,1338,05,9,3000,195605,2,00,263000000,5,01,201312,1,1,02,0,12,6237,8890,8890,,1468 LOCAL PAINTERS UNION
010286541,MAINE DENTAL SERVICE CORPORATION,,PO BOX 2002,CONCORD,NH,03302-2002,0000,04,3,3000,197007,2,00,179211000,1,01,201212,8,9,01,0,12,41219141,93011494,86092421,,
010340501,COE-BROWN NORTHWOOD ACADEMY,% AMY PAINE,907 FIRST NH TURNPIKE,NORTHWOOD,NH,03261-3201,0000,03,3,1000,201206,1,16,000000000,1,01,201307,0,0,02,0,07,0,0,0,B84,
010352616,SHEET MENTAL WORKERS LOCAL 545 TRAINING FUND,% MICHAEL CARPENTER,PO BOX 811,PELHAM,NH,03076-0811,0000,03,3,1000,197805,1,11,046000000,2,01,201306,2,3,02,0,06,20706,35512,35512,,
010361086,EASTERN REGIONAL ASSOCIATION OF ADVENT CHRISTIAN CHURCHES,,PO BOX 1913,ROCHESTER,NH,03866-1913,1428,03,9,7000,195809,1,10,000000000,1,01,,0,0,06,0,12,,,,,
010454657,MOUNTAIN MEADOW RIDERS SNOWMOBILE CLUB,% ROGER J CYR JR TR,PO BOX 421,MADISON,NH,03849-0421,0000,07,3,1000,201309,2,00,000000000,1,01,201306,0,0,02,0,06,0,0,0,N63,
010461053,KIWANIS INTERNATIONAL INC,% CAROLYN PATTON,PO BOX 6576,PORTSMOUTH,NH,03802-6576,0026,04,9,1300,194007,2,00,040042000,5,01,201309,0,0,02,0,09,0,0,0,,K11620 SEACOAST PORTSMOUTH
010462738,U A LOCAL 716 APPRENTICESHIP AND TRAINING TRUST,% S & A INC,50 ELM ST,MANCHESTER,NH,03101-2710,0000,03,3,2000,201006,1,11,000000000,2,01,201212,5,4,01,0,12,903213,194289,159021,B30,LOCAL 716 TRAINING FUND
010469062,INDEPENDENT SCHOOLS ASSOCIATION OF NORTHERN NEW ENGLAND,% RAYMOND P BOUTIN,PO BOX 115,WEST OSSIPEE,NH,03890-0115,0000,03,3,1200,200712,1,15,205000000,1,01,201306,4,5,01,0,06,204651,505708,505708,B90,ISANNE
010491193,CASCO BAY CHURCH OF CHRIST,% STS CONSULTING LLC,PO BOX 536,ROLLINSFORD,NH,03869-0536,1665,03,9,7000,196404,1,10,001029000,5,01,201312,0,0,06,0,12,,,,X21Z,
010500427,CONNECTIONS FOR KIDS,% JAY WOLTER,PO BOX 325,ORFORD,NH,03777-0325,0000,03,3,1000,199603,1,15,994326327,1,01,201306,5,6,01,0,06,713034,3627141,3627141,P31,
010502623,NEW ENGLAND ALPACA OWNERS & BREEDERS ASSOC,,294 WALNUT ST,ROCHESTER,NH,03867-4270,0000,05,3,1000,200204,2,00,000000000,1,01,201312,3,3,01,0,12,29585,89452,81493,K26,
010503384,SHAWNEE PEAK HANDICAPPED SKI PROGRAM INC,% SHIRLEY B HOMER,PO BOX 422,PORTSMOUTH,NH,03802-0422,0000,03,3,1000,199605,1,16,995160575,1,01,201312,3,3,02,0,12,31351,37542,37542,P80,
010516157,FRIENDS OF VOICES FROM THE HEART,% JOANNE CONNOLLY,PO BOX 926,PORTSMOUTH,NH,03802-0926,0000,03,3,1000,200610,1,16,000000000,1,01,201308,0,0,02,0,08,0,0,0,K31,
010516202,GRANATE STATE SHETLAND SHEEPDOG CLUB OF SOUTHEAST NH INC,% JODY ABRAHAMSON,30 CLARK RD,BROOKFIELD,NH,03872-7320,0000,07,3,1000,201007,2,00,000000000,1,01,201312,0,0,02,0,12,0,0,0,N50,
010516518,BLUE KNIGHTS MOTORCYCLE CLUB,,PO BOX 126,BARNSTEAD,NH,03218-0126,9222,10,9,1000,198909,2,00,260000000,1,01,201212,0,0,02,0,12,0,0,0,,NH IV HIRTLE
010523710,NORTHEAST CHAPTER 15 ANTIQUE- CLASSIC DIVISION,% KIM BROWN,12 BROWN RD,HAMPTON FALLS,NH,03844-2013,0000,03,3,1200,200206,1,16,000000000,1,01,201312,0,0,02,0,12,0,0,0,U30,
010538591,WOMEN SINGING OUT,% SUSANNE POLCARI,PO BOX 1553,PORTSMOUTH,NH,03802-1553,0000,03,3,1000,200103,1,16,000000000,1,01,201307,0,0,02,0,07,0,0,0,T30,
010544219,LUTHERAN COMMUNITY SERVICES OF MAINE INC,,261 SHEEP DAVIS ROAD NO A-1,CONCORD,NH,03301-5750,0000,03,3,1000,200205,1,16,160382000,1,01,201106,0,0,01,0,06,0,0,0,P20,LUTH CMNTY SVCS OF NTHRN NEW ENGLD
010551305,SOUTHERN NEW HAMPSHIRE PARENT-CHILD PROGRAM,% DAVE ANSTEY,PO BOX 991,LONDONDERRY,NH,03053-0991,0000,03,3,3000,200207,2,16,000000000,1,01,201308,0,0,02,0,08,0,0,0,O40,
010561381,LYNCH FAM CHARITABLE FOUNDATION,% WILLIAM STEELE & ASSOCIATES,2 WATCHTOWER RD,HOPKINTON,NH,03229-2819,0000,03,3,1000,200211,1,04,000000000,1,01,201212,6,5,00,1,12,2843464,579879,,T20,LYNCH JOHN H TTEE
010563728,COVERED BRIDGE AFFORDABLE HOUSING CORPORATION,% DOVER HOUSING AUTHORITY,62 WHITTIER ST,DOVER,NH,03820-2946,0000,03,3,1000,200208,1,15,000000000,1,01,201312,6,4,01,0,12,1912059,207888,207888,L20,
010567247,BABY THREADS,,PO BOX 713,BELMONT,NH,03220-0713,0000,03,3,1000,200209,1,15,000000000,1,01,201212,1,3,02,0,12,7867,39460,39460,E193,CHAMPAGNE BONNIE
010568516,CMC HEALTHCARE SYSTEM,% ALYSON PITMAN GILES,100 MCGREGOR ST,MANCHESTER,NH,03102-3730,0928,03,9,1000,194603,1,17,031150120,5,01,201306,1,0,02,0,06,1,0,0,,
010573568,WHITE MOUNTAIN GATEWAY ECONOMIC DEVELOPMENT CORPORATION,% SHARON YEATON,579 TENNEY MTN HWY,PLYMOUTH,NH,03264-3147,0000,04,3,3000,200306,2,00,000000000,1,01,201312,4,4,01,0,12,221950,208868,208868,S30,
010581780,BROOKLINE HOLLIS YOUTH SOCCER LEAGUE,% WAYNE PINEAU,PO BOX 658,BROOKLINE,NH,03033-0658,0000,03,3,1000,200503,1,16,000000000,1,01,201306,0,0,02,0,06,0,0,0,N64,
010593775,DOVER HIGH SCHOOL BOYS BASKETBALL BOOSTERS,% ATHLETIC DIRECTOR,25 ALUMNI DR,DOVER,NH,03820-4367,0000,03,3,1000,201303,1,16,000000000,1,01,201212,0,0,02,0,12,0,0,0,B19,
010598175,FRIENDS OF THE MINOT SLEEPER LIBRARY,,35 PLEASANT ST,BRISTOL,NH,03222-3002,0000,03,3,1200,200707,1,16,000000000,1,01,201312,3,2,02,0,12,29027,13537,13377,B11,
010632051,TOWN OF NEW LONDON BANDSTAND COMMITTEE INC,% P A VESILIND,PO BOX 341,NEW LONDON,NH,03257-0341,0000,03,3,2000,200409,1,16,000000000,1,01,201212,0,0,02,0,12,0,0,0,A69,
010645263,HOLLIS YOUTH HOCKEY ASSOCIATION,% FRANCIS X CONNOLLY,PO BOX 413,HOLLIS,NH,03049-0413,0000,03,3,1200,200206,1,16,000000000,1,01,201303,2,4,01,0,03,10819,166191,166191,N68,
010656986,SURF CLUB OF RYE INC,% RICHARD W GREEN,PO BOX 1148,HAMPTON,NH,03843-1148,0000,07,3,1000,200306,2,00,000000000,1,01,201312,6,5,01,0,12,3769475,604524,558114,N50,
010663221,MEDICAL MISSION EXCHANGE,% PAUL W GERKE,24 COURTYARD,HANOVER,NH,03755-1551,0000,03,3,1200,200301,1,04,000000000,1,01,201212,2,1,00,1,12,19260,10,,E02,
010675353,NH THEATRE FACTORY,% CONSTANCE COMPAGNA,PO BOX 923,LONDONDERRY,NH,03053-0923,0000,03,3,1000,200301,1,16,000000000,1,01,201306,0,0,02,0,06,0,0,0,A65,
010681629,THE ALCHEMISTS,% TOM DUNN,PO BOX 658,HENNIKER,NH,03242-0658,0000,03,3,1000,200301,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,A65,
010691858,INTERNATIONAL SOCIETY OF TRACE ELEMENTS BIOGEOCHEMISTRY,% ISKANDAR K ISKANDAR,18 BANK ST,LEBANON,NH,03766-1730,0000,03,3,8200,200703,1,16,000000000,5,01,201312,0,0,02,0,12,0,0,0,U50,
010694632,SEYMOUR OSMAN COMMUNITY CENTER AND YOUTH SAFE HAVEN,% DOVER HOUSING AUTHORITY,62 WHITTIER ST,DOVER,NH,03820-2994,0000,03,3,1200,200210,1,15,000000000,1,01,201306,3,4,01,0,06,36096,270447,270447,P30,
010712416,GRANITE STATE AREA NARCOTICS ANONYMOUS INC,% ALAN DAVIDSON,PO BOX 5171,MANCHESTER,NH,03108-5171,0000,03,3,2100,200209,1,15,000000000,1,01,201312,1,3,02,0,12,9471,26447,26447,F20,
010721782,FRIENDS OF THE GRANGE HALL,% JOAN E HOFFMAN,419 WASHINGTON RD,GOSHEN,NH,03752-3515,0000,03,3,1000,200304,1,16,000000000,1,01,201306,0,0,02,0,06,0,0,0,A80,
010726864,TAU BETA PI ASSOCIATION INC,% DOUGLAS W VAN CITTERS,14 ENGINEERING DR,HANOVER,NH,03755-4401,0782,07,9,1000,194501,2,00,036000000,5,01,201312,0,0,02,0,12,0,0,0,,NEW HAMPSHIRE BETA CHAPTER
010742001,MANCHESTER COMMUNITY RESOURCE CENTER INC,,434 LAKE AVE,MANCHESTER,NH,03103-4271,0000,03,3,1000,200209,1,15,000000000,1,01,201306,5,6,01,0,06,509882,1230130,1230130,P20,
010749557,THE FIRST TEE OF NEW HAMPSHIRE INC,% WILLIAM BURBANK,22 NORTH RD,N HAMPTON,NH,03862-2219,0000,03,3,1200,200304,1,16,000000000,1,01,201212,3,4,01,0,12,65630,159264,127366,N6A,FIRST TEE OF NEW HAMPSHIRE
010750403,INDEPENDENT COMMUNITY BASKETBALL,% C/O TRACY HUCKINS,PO BOX 6574,PENACOOK,NH,03303-6574,0000,03,3,1000,201103,1,15,000000000,5,01,201306,0,0,02,0,06,0,0,0,N62,MICHELLE SALVATORE
010759946,TOASTMASTERS INTERNATIONAL,% ANGI A MILLER,PO BOX 65,ASHLAND,NH,03217-0065,0820,03,9,2000,194505,1,16,059319000,1,01,201312,0,0,02,0,12,0,0,0,,5122 WHITE MOUNTAIN TOASTMASTERS CL
010767520,VETERANS FOR PEACE INC,% WILLIAM THOMAS,27 MARGATE DR,AUBURN,NH,03032-3744,9168,03,9,1000,198808,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,,62 AUBURN NH
010785529,AMERICAN FEDERATION OF TEACHERS,% ANNIE SNELLING,131 N RIVER RD,LEE,NH,03861-6409,0787,05,9,3000,196711,2,00,263264279,5,01,201306,0,0,02,0,06,0,0,0,,6213 OYSTER RIVER PARAPROFESSIONALS
010816464,DHS HOCKEY BOOSTER CLUB INC,% DEAN PARMER,PO BOX 1163,DOVER,NH,03821-1163,0000,03,3,1000,201204,1,16,000000000,1,01,201212,1,3,01,0,12,8706,58952,35840,B90,
010821217,GREAT BAY MASTERS SWIMMING,% PHILIP E READ TREASURER,PO BOX 1723,DOVER,NH,03821-1723,0000,03,3,1200,200806,1,16,000000000,1,01,201312,0,0,02,0,12,0,0,0,N67,
