EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010482480,SPHERE INC,,13409 BLUE FLAX CT NE,ALBUQUERQUE,NM,87111-8028,0000,03,3,1000,199310,1,03,123000000,1,01,201207,1,1,00,1,07,701,4467,,,
010565518,DESERT LIGHT CHRISTIAN CHURCH,,541 UTAH ST NE,ALBUQUERQUE,NM,87108-2491,0000,03,3,7000,200306,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010576324,STEVAN & CYNTHIA PEARCE CHARITABLE FOUNDATION,% STEVAN PEARCE,PO BOX 1830,HOBBS,NM,88241-1830,0000,03,3,2000,200305,1,04,000000000,1,01,201309,6,6,00,1,09,1322625,3008322,,T30,
010592052,LIFE FOUNDATION MINISTRIES,% JAMES HUMPAL,PO BOX 1160,BERNALILLO,NM,87004-1160,0000,03,3,1000,200312,1,15,000000000,3,01,201312,0,0,02,0,12,0,0,0,X990,
010598548,WATERFALL COMMUNITY WATER USERS ASSOCIATION,% RONALD H WRIGHT,3 MONK DR,CLOUDCROFT,NM,88317-9204,0000,12,3,1000,201407,2,00,000000000,1,01,201305,3,3,02,0,05,41125,45895,45895,W80,
010614084,CAVERN CITY CHURCH OF CHRIST,,PO BOX 1941,CARLSBAD,NM,88221-1941,0000,03,3,7100,200308,1,10,000000000,1,01,,0,0,06,0,12,,,,X212,
010629331,MAGDALENA OLD TIMERS REUNION ASSOCIATION,% MARTIN WELLITO,PO BOX 145,MAGDALENA,NM,87825-0145,0000,04,3,3000,200301,2,00,000000000,1,01,201312,0,0,02,0,12,0,0,0,N52,WOLFE JAMES A PRESIDENT
010659973,ABIDING IN CHRIST MINISTRIES INC,% STUART COLEMAN,2108 MARIE PARK DR NE,ALBUQUERQUE,NM,87112-3639,1620,03,9,7000,196402,1,10,001029000,5,01,,0,0,06,0,12,,,,,
010672526,VOLUNTEER TASK FORCE INC,% CRAIG MARTIN,3100 ARIZONA AVE,LOS ALAMOS,NM,87544-1516,0000,03,3,1200,200211,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,C34,
010720459,LOS PUEBLOS COMMUNITY COUNCIL,% GLORIA LUZ GONZALES,PO BOX 465,RIBERA,NM,87560-0465,0000,03,3,1000,200607,1,04,000000000,1,01,201312,3,5,00,1,12,48936,928621,,T19,
010734317,FRIENDS OF JEMEZ SPRINGS PUBLIC LIBRARY,% SUSAN DONOVAN,1658 VISTA HERMOSA RD,JEMEZ PUEBLO,NM,87024-9637,0000,03,3,1000,200403,1,16,000000000,1,01,201212,0,0,02,0,12,0,0,0,B70,
