EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010550649,UNITED LOT OWNERS OF CAMBRIA,% JAMES ENSLEY,4217 JORY TRL,LAS VEGAS,NV,89108-5210,0000,04,3,3000,200305,2,00,000000000,5,01,201212,0,0,02,0,12,0,0,0,L50,
010562781,TORTIE FOUNDATION,% STEPHEN F WITORT,6554 CHAMPETRE CT,RENO,NV,89511-0000,0000,03,3,1000,200305,1,04,000000000,1,01,201209,2,1,00,1,09,15922,2772,,T20,
010564549,SECOND MISSIONARY BAPTIST CHURCH OF PAHRUMP,% ANITA A ANDERSON,2380 WILSON RD,PAHRUMP,NV,89048-2863,0000,03,3,7000,200205,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010588006,NEVADA ROCK ART FOUNDATION,,641 JONES ST,RENO,NV,89503-5624,0000,03,3,1200,200206,1,15,000000000,1,01,201212,3,4,01,0,12,98180,136481,133455,A40,
010592377,LIGHTHOUSE OF FAITH MINISTRIES,% JUAN GUTIERREZ,PO BOX 363406,N LAS VEGAS,NV,89036-7406,0000,03,3,7000,200506,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010596229,NEW DAY CHRISTIAN CHURCH INC,% LEROY ROYBAL,7948 CAPE BRETT ST,LAS VEGAS,NV,89131-4602,0000,03,3,7100,200209,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010633884,MISSIONARY CHURCH IN CHRIST,% FRANCISCO ALCANTARA,145 HUBBARD WAY,RENO,NV,89502-3708,0000,03,3,7000,200301,1,10,000000000,1,01,,0,0,06,0,12,,,,X990,
010640027,MGM RESORTS FOUNDATION,,3260 INDUSTRIAL RD,LAS VEGAS,NV,89109-1132,0000,03,3,1000,200209,1,15,000000000,1,01,201304,7,6,01,0,04,5681795,4885285,4885285,T30,
010653841,JOHNSON LANE VOLUNTEER FIRE DEPARTMENT,% MARK BAUGHN,PO BOX 778,MINDEN,NV,89423-0778,0000,04,3,1000,200512,1,00,000000000,5,01,201112,0,0,02,0,12,0,0,0,M24,
010655941,MELLOWTONES BIG BAND INC,% KURT SWANSON,3640 ASH SPRINGS WAY,LAS VEGAS,NV,89129-5508,0000,04,3,1000,200311,2,00,000000000,1,01,201312,0,0,02,0,12,0,0,0,A99,MELLOWTONES BIG BAND
010656610,SISTERS NETWORK INC-LAS VEGAS CHAPTER,,1221 LEONARD AVE,LAS VEGAS,NV,89106-2446,0000,03,3,1000,201403,1,15,994123000,1,01,201312,0,0,02,0,12,0,0,0,B99,LAS VEGAS CHAPTER
010706776,VOICE OF TRUTH APOSTOLIC CHURCH,% REV BILL HILTON JR,3030 E COUGAR ST,SILVER SPGS,NV,89429-7661,1621,03,9,7000,196402,1,10,001000000,5,01,,0,0,06,0,12,,,,,LANDMARK OF TRUTH
010722781,PTA NEVADA CONGRESS,% LIDA LANG,850 SCHOLAR ST,HENDERSON,NV,89002-6588,2044,03,7,2000,196910,0,16,059035000,5,01,201306,0,0,02,0,06,0,0,0,,WALKER INTERNATIONAL SCHOOL PTA
010738489,PTA NEVADA CONGRESS,% ROGER D GEHRING SCHOOL,1155 E RICHMAR AVE,LAS VEGAS,NV,89123-3808,2044,03,9,2000,196910,1,16,059035000,5,01,201306,0,0,02,0,06,0,0,0,,ROGER GEHRING ELEMENTARY SCHOOL PTA
010761645,PRAYER CATHEDRAL INTERNATIONAL,% CARMEN RODGERS,4500 RED CIDER LN,LAS VEGAS,NV,89130-5152,0000,03,3,7000,200412,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010766423,RENO HEAT GIRLS SOFTBALL ASSOCIATION,% LAUREL CASAZZA,905 HOLCOMB RANCH LN,RENO,NV,89511-5439,0000,03,3,1000,200306,1,15,000000000,1,01,201212,0,0,02,0,12,0,0,0,N63,
010774114,GOVERNMENT INVESTMENT OFFICERS ASSOCIATION,% RICHARD PHILLIPS,10655 PARK RUN DR,LAS VEGAS,NV,89144-4589,0000,03,3,2000,200603,1,15,000000000,1,01,201312,4,4,01,0,12,145398,213477,213477,W032,
010785223,AMERCIAN LEGION,% JERRY FINLEY,PO BOX 1689,FERNLEY,NV,89408-1689,0925,19,9,1000,194603,1,00,907908000,5,01,201312,0,0,02,0,12,0,0,0,,37 GERALD C DANIEL
010796125,JACKSON FAMILY HERITAGE FOUNDATION INC,% SIMON SAHOURI,6490 W DESERT INN RD,LAS VEGAS,NV,89146-6609,0000,03,3,2000,200402,1,15,000000000,1,01,201212,1,0,02,0,12,1,0,0,J22,
010815981,STILLWATER FIREARMS ASSOCIATION,% MS ELYNDA LONG,PO BOX 665,FALLON,NV,89407-0665,0000,07,3,1000,201310,2,00,000000000,1,01,201312,4,3,01,0,12,222106,96408,66122,N50,
010825154,GODS BLESSED HOUSE DELIVERANCE APOSTOLIC MINISTRIES,% STACY ELDER,2500 N RAINBOW BLVD APT 1040,LAS VEGAS,NV,89108-4541,0000,03,3,1000,200506,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010868265,COVENANT OF LOVE UUL CORP,% CHARLENE BYNUM,408 ELDORADO HILLS CT,LAS VEGAS,NV,89110-5646,0000,03,3,1000,200711,1,15,000000000,1,01,201312,2,5,01,0,12,13715,616003,616003,I40,COVENANT OF LOVE-TRANSITIONAL HOME
010881587,SIERRA NEVADA JOURNEYS,,SOUTHSIDESCHOOL ANNEX 190 EAST LIBE,RENO,NV,89501-0000,0000,03,3,2100,200703,1,15,000000000,1,01,201312,4,6,01,0,12,375214,2641331,2641331,O50,
010884909,HIGH DESERT CHRISTIAN CENTER INC,% ROBERT BAGLEY,95 CHACON CT,SPARKS,NV,89441-6242,0000,03,3,7000,197802,1,10,000000000,1,01,,0,0,06,0,12,,,,,
010886100,RCS ROTARY FOUNDATION INC,% LARIE TRIPPET,PO BOX 18241,RENO,NV,89511-0241,0000,03,3,1000,200907,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,B82,
010887922,ACTIVE VOLUNTEERS IN DOUGLAS,% THOMAS MEZZETTA,PO BOX 1057,MINDEN,NV,89423-1057,0000,03,3,1000,200707,1,15,000000000,5,01,201306,0,0,02,0,06,0,0,0,T40,
010889772,MONTESSORI VISIONS ACADEMY PARENT TEACHER ORGANIZATION,% LORI BOSSY,3551 E SUNSET RD,LAS VEGAS,NV,89120-3203,0000,03,3,2000,200706,1,16,000000000,1,01,201306,0,0,02,0,06,0,0,0,B94,
010893313,YOUTH CAMP EDUCATION,% GERALD CRAWFORD,6782 HYLA ROMAN AVE,LAS VEGAS,NV,89131-2247,0000,03,3,1200,201304,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,O50,
010893463,NORTHERN NEVADA REGIONAL ANIMAL CENTER,% DEBORAH LARSON,1129 CHEATGRASS DR,DAYTON,NV,89403-6322,0000,03,3,4000,200810,1,15,000000000,1,01,201312,1,2,02,0,12,5961,10904,8073,D20,
010901287,ALTERNATIVE & INTEGRATIVE THERAPY SUPPORT FOUNDATION,% PEGGY JO FULTON,2110 PINTO LN,LAS VEGAS,NV,89106-4809,0000,03,3,2000,200805,1,15,000000000,1,01,201212,0,0,02,0,12,0,0,0,P50,
