EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010248888,OLDE PORT MUSEUM ASSOCIATION INC,% SMALLTOWN USA,603 W JACKSON ST,HUGO,OK,74743-3041,0000,03,3,1200,197102,1,15,060000000,1,01,201212,0,0,02,0,12,0,0,0,,
010534483,COVENANT CHAPEL,% REV JANE E DIBDEN SCHWAB,PO BOX 312,FORGAN,OK,73938-0312,1619,03,9,7000,196402,1,10,001030059,5,01,,0,0,06,0,12,,,,,
010576406,ALSUM MISSIONARY BAPTISE CHURCH INC,,2443 N PEORIA AVE,TULSA,OK,74106-3944,0000,03,3,7000,200202,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010583844,XPERIENCE IT FOUNDATION,% ANDY TILLY,14635 WATERLOO FALLS RD,ARCADIA,OK,73007-7121,0000,03,3,7000,200506,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,X20,
010590617,MAKING THE GRADE ASSOCIATION,% FELISHA PINKSTON,900 N KLEIN AVE,OKLAHOMA CITY,OK,73106-7036,0000,03,3,2000,200205,1,16,000000000,1,01,201306,0,0,02,0,06,0,0,0,B19,
010598137,THELMA GAYLORD LYRIC THEATRE ENDOWMENT FUND INC,% MARK A ROBERTSON,1727 NW 16TH ST,OKLAHOMA CITY,OK,73106-2067,0000,03,3,2000,200402,1,17,000000000,1,01,201312,6,5,01,0,12,4057126,627794,627794,A11,
010600382,DOBERMAN RESCUE GROUP INC,% MARCIA COWEN,PO BOX 43,BIXBY,OK,74008-0043,0000,03,3,4000,200212,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,D20,
010602578,VISION 21 LEARNING CENTER INC,% BETTY J COWINS,8730 S LYNN LANE RD,BROKEN ARROW,OK,74012-9614,0000,03,3,1000,200207,1,16,000000000,1,01,201212,4,4,01,0,12,346807,440876,440876,P33,
010603214,SAINT FRANCIS HOSPITAL SOUTH LLC,% REBECCA HUTCHENS,6600 S YALE AVE STE 400,TULSA,OK,74136-3319,0000,03,3,1000,200801,1,12,000000000,1,01,201206,9,9,01,0,06,73228736,68704941,67398650,E20,HEART HOSPITAL OF SAINT FRANCIS
010608540,SHEPHERDS OF LOVE MINISTRIES INC,% TERESA K ROUNTREE,PO BOX 5043,EDMOND,OK,73083-5043,0000,03,3,1000,200304,1,15,000000000,1,01,201312,3,4,01,0,12,53954,237933,237933,P20,
010617497,OPERATION BLESSING INC,% RON FRAZIER,PO BOX 107,PERRY,OK,73077-0107,0000,03,3,1000,200404,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,P60,
010623235,LA SOCIETE DE FEMME NATIONALE INC,% BARBARA HUGHES,1318 NW ELM AVE,LAWTON,OK,73507-5211,0925,19,9,1000,194603,1,00,907908000,5,01,201212,0,0,02,0,12,0,0,0,,616 OKLAHOMA
010650122,VIETNAM VETERANS OF AMERICA INC,% SARAH HIRST,320 S 3RD STREET,STILWELL,OK,74960-3802,3202,19,9,1000,198411,1,00,907000000,5,01,201302,0,0,02,0,02,0,0,0,,877 VVA CHAPTER
010657169,CACHE SCHOOL EDUCATION FOUNDATION,% EDDIE DABNEY,100 BUFFALO CIR,CACHE,OK,73527-9425,0000,03,3,1000,200212,1,16,000000000,1,01,201306,0,0,02,0,06,0,0,0,T20,
010660182,CHRISTIAN MENTORING INC,% MARK JACKSON,6774 E 66TH PL,TULSA,OK,74133-1701,0000,03,3,1000,200210,1,15,000000000,1,01,201312,1,1,02,0,12,8240,7950,7950,F60,
010665303,LUTHERAN CHURCH OF THE PRINCE OF PEACE,% SIDNEY FLACK PASTOR,PO BOX 6006,TULSA,OK,74148-0006,9386,03,9,7000,198804,1,10,000000000,1,01,,0,0,06,0,12,,,,,
010666266,TOUCHSTONE YOUTH PROJECT INC,% ANDREW HUNZICKER,PO BOX 643,OKLAHOMA CITY,OK,73101-0643,0000,03,3,1000,200206,1,15,000000000,1,01,201306,4,3,01,0,06,344455,51853,51853,O50,
010667694,FAMILY HEALTH CENTER OF SOUTHERN OKLAHOMA INC,,610 E 24TH ST,TISHOMINGO,OK,73460-3245,0000,03,3,1000,200209,1,15,000000000,1,01,201212,6,7,01,0,12,4263411,5266292,5266292,E30,
010681140,FIVE FOLD MINISTRY CHURCH INC,% HOWARD L KNOX,PO BOX 890223,OKLAHOMA CITY,OK,73189-0223,0000,03,3,7000,200508,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010693374,RONALD E AND ELEANOR J HALL FOUNDATION,% AMERITRUST CORPORATION,4506 S HARVARD,TULSA,OK,74135-0000,0000,03,3,1000,200403,1,04,000000000,2,01,201312,5,4,00,1,12,754676,295908,,T20,
010724223,DESTINY CHRISTIAN SCHOOL INC,,PO BOX 15300,DEL CITY,OK,73155-5300,0000,03,3,2700,200209,1,11,000000000,1,01,,0,0,13,0,06,,,,B20,
010726041,BROOKHAVEN SQUARE 3RD & 4TH ADDITIONS HOMEOWNERS ASSOCIATION,% JACK GREEN,PO BOX 720096,NORMAN,OK,73070-4074,0000,04,3,3000,200307,2,00,000000000,1,01,201402,3,3,01,0,02,64158,56432,56432,A23,
010729434,CHURCH OF GOD OUTREACH,% LOIS RAY TREASURER,1912 GLORIA PL,GUTHRIE,OK,73044-6005,0000,03,3,1700,200303,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010731995,LIGHTHOUSE TRANSITIONAL CENTER INC,% VERNETTA DEMARTRA,10300 SE 23RD ST,MIDWEST CITY,OK,73130-7621,0000,03,3,1000,200310,1,15,000000000,1,01,201012,2,3,00,0,12,17840,98527,98527,F80,
010732646,SERVANTS OF THE SAVIOR INTERNATIONAL MINISTRIES INC,,701 E EUCLID AVE,WAUKOMIS,OK,73773-1049,0000,03,3,1000,200305,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,Q33,
010748848,EL RENO BLESSING BASKETS INC,% ROGER RINEHART,PO BOX 55,EL RENO,OK,73036-0055,0000,03,3,1000,200404,1,15,000000000,1,01,201306,3,4,01,0,06,67774,134335,134335,P58,
010751555,PARENTS HELPING PARENTS INC,% LESLIE GILMORE,PO BOX 5036,EDMOND,OK,73083-5036,5316,03,6,2000,200302,1,15,000000000,1,01,201212,0,0,02,0,12,0,0,0,F60,PARENT UMBRELLA ENTITY
010752066,UNION GOLF BOOSTER CLUB INC,% TINA CREED,1318 S CYPRESS LN,BROKEN ARROW,OK,74012-6119,0000,03,3,1000,200303,1,16,000000000,1,01,201212,0,0,02,0,12,0,0,0,B80,
