EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010286071,KAPPA DELTA PHI INC,,716 CENTRE OF NEW ENGLAND BLVD,COVENTRY,RI,02816-6083,2047,07,6,1000,196911,2,00,059036040,1,01,201308,2,3,01,0,08,20438,70307,68726,,
010310533,VISUAL EDUCATION CENTER INC,,15 HIGHLAND VIEW RD,CUMBERLAND,RI,02864-1124,0000,03,3,2000,196505,1,09,030160000,5,01,201312,0,0,02,0,12,0,0,0,,
010342663,HELEN F WYLIE FOUNDATION,% MAINE NATIONAL BANK,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,03,3,1000,197611,1,04,040041043,2,01,201312,4,3,00,1,12,458767,78684,,,
010351827,HELEN R COE TRUST,% MAINE NATIONAL BK,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,03,3,1000,197712,1,04,040119602,2,01,201403,6,6,00,1,03,2147387,1043372,,,
010352472,ST AUGUSTINE TRUST FUND 40-6130848230,,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,03,3,1000,197804,1,04,560561602,2,01,201312,3,3,00,1,12,32807,33768,,,
010370716,SPURWINK-RI,% RAYMOND A ARSENAULT,1 SPURWINK PL,CRANSTON,RI,02910-2012,5573,03,6,2000,200909,2,11,046030031,5,01,201212,6,7,01,0,12,1500218,6745442,6745442,F33Z,
010490877,NATIONAL ATHLETIC TRAINERS ASSOCIATION INC,% JOSEPH SCOTT,1235 WAMPANOAG TRAIL,EAST PROVIDENCE,RI,02915-1231,7225,06,9,2000,199510,2,00,205000000,5,01,201403,4,4,01,0,03,234278,117278,117278,,I DISTRICT
010497343,THEODORA S GRAY TR UW,% FLEET INVESTMENT MANAGEMENT,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,03,3,1000,199706,1,04,602000000,1,01,201401,4,4,00,1,01,437915,414083,,T22Z,
010500483,LEONE R MURRAY TRUST UART 4,% FLEET PRIVATE CLIENTS GROUP,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,03,3,1000,199907,1,04,000000000,2,01,201312,4,4,00,1,12,150084,162955,,A120,
010504173,MARGARET & DON MATHESON SCHOLARSHIP FUND,% FLEET PRIVATE CLIENTS GROUP,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,03,3,2000,201408,1,04,000000000,2,01,201312,5,4,00,1,12,598960,473485,,B82,
010515885,LIDA P UNDERHILL CHARITABLE TR,% FLEET NATIONAL BANK,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,03,3,1000,199905,1,04,000000000,2,01,201312,4,4,00,1,12,284872,333454,,T22,
010517028,TRUST AGREEMENT FOR THE DEATH BENEFIT PLAN FOR RETIRED EMPLOYEES,% KATHLEEN CASE,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,09,3,1000,199812,2,00,265000000,2,01,201312,4,5,01,0,12,264203,830129,87670,,CTRL ME PWR CO UNION RETE MED VEBA
010517029,TRUST AGREEMENT FOR POST-RETIREMENT MEDICAL PLAN FOR UNION EMPLOYEES O,% KATHLEEN CASE,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,09,3,1000,199812,2,00,000000000,2,01,201312,8,8,01,0,12,22616975,11575338,1406432,Y99,CNTRL ME PWR CO UNION RETE MED VEBA
010517035,TRUST AGREEMENT FOR THE POST- RETIREMENT MEDICAL PLAN FOR NON-,% BANK OF AMERICA,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,09,3,1000,199812,2,00,265000000,2,01,201312,7,6,01,0,12,9108372,4926375,558111,,CTRL ME PWR CO NON-UNI RET MED VEBA
010520871,CONSUMERS WATER COMPANY & AFFILIATE COMPANIES VOL EMPL BENEFIT ASSOC,,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,09,3,1000,199811,2,00,265000000,2,01,201212,7,7,01,0,12,8416127,7562567,5118573,,
