EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010319131,SIGMA DELTA PI,% MARK P DEL MASTRO,3 BAINBRIDGE DR,CHARLESTON,SC,29407-4213,0000,03,3,1000,199906,1,16,059000000,1,01,201308,6,4,01,0,08,1130293,130698,130698,O20,
010354783,BUSTINS ISLAND MAINE HISTORICAL SOCIETY,% LYN MCELWEE,207 MILFORD LN,MC CORMICK,SC,29835-3118,0000,03,3,2000,197806,1,15,060061062,1,01,201308,0,0,02,0,08,0,0,0,,
010511365,THE ANO CHARITABLE FOUNDATION TRUST,% H P ANO AND P NOCE,9 WOODSTORK WATCH CALLAWASSIE,OKATIE,SC,29909-0000,0000,03,3,1000,199707,1,04,602000000,2,01,201312,4,4,00,1,12,362668,210839,,T22Z,
010518429,ATLANTIC RESIDENTIAL RESOURCE,% ALAN J PETHICK,PO BOX 32,BEAUFORT,SC,29901-0032,0000,03,3,1000,199902,1,04,000000000,1,01,201312,5,4,00,1,12,673545,160993,,P20,
010552985,PALMETTO INNOCENCE PROJECT,% PALMETTO INNOCENCE PROJECT,1426 RICHLAND STREET SUITE 2,COLUMBIA,SC,29201-2520,0000,03,3,1200,200202,1,16,000000000,1,01,201312,0,0,02,0,12,0,0,0,I80,
010553362,NATIONAL WILD TURKEY FEDERATION INC,% ELLEN M LINTAL,770 AUGUSTA RD,EDGEFIELD,SC,29824-1573,8632,03,9,2000,199302,0,16,350000000,1,01,,0,0,02,0,08,,,,,HIGHLAND LAKES CHAPTER TX
010553420,NATIONAL WILD TURKEY FEDERATION INC,% BEVERLY QUARLES,PO BOX 530,EDGEFIELD,SC,29824-0530,8632,03,9,2000,199302,0,16,350000000,1,01,,0,0,02,0,08,,,,,MID-CITIES THUNDER GOBBLERS TX
010553641,SOUTH CAROLINA UNITED METHODIST CAMPS AND RETREAT MINISTRIES,,PO BOX 3787,COLUMBIA,SC,29230-3787,2573,03,9,7100,197410,1,10,001919000,5,01,201212,6,6,06,0,12,4938115,1065404,1065404,,
010554223,POTTERS CHRISTIAN LIFE MINISTRIES,% GREGORY A FORMEY,PO BOX 21685,COLUMBIA,SC,29221-1685,0000,03,3,7000,200501,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010564637,GHS FOUNDATION INC,% DAVID L BUCHER,508 EAGLES HARBOR DR,HODGES,SC,29653-9091,0000,03,3,1000,200206,1,04,000000000,1,01,201212,1,1,00,1,12,45,552,,T22,
010566047,UPPER ROOM EVANGELISTIC HOUSE OF PRAYER,% KENNETH S PINCKNEY,271 SAINT JULIAN DR,CROSS,SC,29436-3116,0000,03,3,7000,200212,1,10,000000000,1,01,,0,0,06,0,12,,,,X200,
010569075,JEHOVAH ADULT DAYCARE,% GEORGIA M PEAK,294 AUSTIN ST,SPARTANBURG,SC,29301-2145,0000,03,3,1000,200212,1,04,000000000,1,01,201212,1,1,00,1,12,1,1,,P81,
010573564,HILTON HEAD PREPARATORY PARENTS ASSOCIATION INC,% W MITCHELL WADE,8 FOX GRAPE RD,HILTON HEAD ISLAND,SC,29928-0000,0000,03,3,1000,200209,1,16,000000000,1,01,201106,4,4,01,0,06,101327,218043,144734,B112,
010577711,NEW BEDFORD BAPTIST CHURCH INC,% JURSHWAY JACKSON,PO BOX 160158,BOILING SPGS,SC,29316-0004,0000,03,3,7000,200209,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010593081,HOLY TEMPLE BUILDING & TR FUND,% MELVIN SAMUEL,5722 MAIN ST,COLUMBIA,SC,29203-6223,0000,03,3,7100,200606,1,15,000000000,1,01,,0,0,13,0,07,,,,X02,
