EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010571875,RIVER OF LIFE COMMUNITY CHURCH,% JILL FRICK,PO BOX 156,CANTON,SD,57013-0156,2269,03,9,7000,197204,1,10,001059349,5,01,,0,0,06,0,12,,,,,
010581479,NORTHERN LIGHT OUTREACH CENTER,% JEAN DONNER,1829 E 34TH ST N,SIOUX FALL,SD,57104-5432,0000,03,3,1000,200211,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010637738,LIVING WATER CHRISTIAN FELLOWSHIP,% RODGER WENZLAFF,413 W 15TH ST,YANKTON,SD,57078-2806,0000,03,3,7000,200311,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010638398,TOASTMASTERS INTERNATIONAL,% TRISTAN M EDMOND,312 GRANDEUR LN,BOX ELDER,SD,57719-6000,0820,03,9,2000,194505,1,16,059319000,5,01,201312,0,0,02,0,12,0,0,0,,4024 NOONTIME THUNDER CLUB
010647550,BELLS OF THE HILLS INC,% PAULA WARREN,1825 COUNTRY OAK LN,SPEARFISH,SD,57783-8067,0000,03,3,2700,200209,1,15,000000000,1,01,201306,0,0,02,0,06,0,0,0,A6C,
010710918,MAIN STREET LIVING INC,% JOANN MEYER,2505 E SLATEN PARK CIR,SIOUX FALLS,SD,57103-4648,0000,03,3,7000,200309,1,15,000000000,1,01,201212,4,4,01,0,12,120196,114546,114546,X20,
010753802,MCINTOSH VOLUNTEER FIRE DEPARTMENT AMBULANCE SERVICE INC,% TERESA DILLMAN,PO BOX 174,MC INTOSH,SD,57641-0174,0000,03,3,2000,200808,1,16,000000000,1,01,201312,0,0,02,0,12,0,0,0,M20,
010774512,H&M SERVICES INC,% HENRY OLIVIER,PO BOX 4082,RAPID CITY,SD,57709-4082,0000,03,3,1000,201109,1,16,000000000,1,01,201312,0,0,02,0,12,0,0,0,E19,
010811050,ENNING FIRE DEPARTMENT,% JOHN J LONG,18600 STONEVILLE RD,STONEVILLE,SD,57787-7109,0000,03,3,6000,201104,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,M24,
010844177,UNITED STATES BOWLING CONGRESS INC,% CHERYL GUSTAFSON,18521 448TH AVE,HAYTI,SD,57241-5518,4348,03,9,1000,200409,1,16,000000000,1,01,201307,0,0,02,0,07,0,0,0,N70,82872 HAYTI USBC WBA
