EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010430328,KANZEON INC,,3575 SOUTH WEST TEMPLE,SALT LAKE CITY,UT,84115-4451,0000,03,3,7000,198809,1,10,001029000,1,01,,0,0,06,0,12,,,,,
010584107,YOUTH DRIVING FOR VALUES,% PATRICK SHEA,680 W 3300 S,S SALT LAKE,UT,84119-3320,0000,03,3,1000,200209,1,15,000000000,1,01,201212,4,4,01,0,12,116181,145961,145961,N6A,
010589975,BLANDING COMMUNITY LEGACY TRUST,% BRETT HOSLER,50 W 100 S,BLANDING,UT,84511-3743,0000,03,3,1000,200206,1,15,000000000,1,01,201206,0,0,02,0,06,0,0,0,T31,
010600848,LEGACY CHARITABLE FOUNDATION,% DAVID J BROMLEY,716 EAST 4500 SOUTH NO 260,MURRAY,UT,84107-3080,0000,03,3,1000,200512,1,17,000000000,1,01,201212,3,1,02,0,12,69099,39,39,T20,
010660932,WORLD CONGRESS OF HERPETOLOGY,% ALAN H SAVITZKY,1054 SUMAC DR,LOGAN,UT,84321-4814,0000,03,3,2000,200211,1,16,000000000,1,01,201312,0,0,02,0,12,0,0,0,B03,
010674266,UTAH COUNTY SHERIFFS COMMUNICATION AUXILLARY TEAM,% DAVID ROGERS,3075 N MAIN ST,SPANISH FORK,UT,84660-9506,0000,03,3,1000,200802,1,15,000000000,1,01,201112,0,0,02,0,12,0,0,0,M23,
010682379,NATIONAL EXCHANGE CLUB,% R SCOTT BAKER,5250 S COMMERCE DR STE 180,MURRAY,UT,84107-5318,1097,04,9,1000,195009,2,00,059328000,5,01,201206,0,0,02,0,06,0,0,0,,2765 MURRAY UT
010690693,LAWRENCE SOUTH IRRIGATION COMPANY,% TY WILSON,PO BOX 651,HUNTINGTON,UT,84528-0651,0000,12,3,2000,200303,2,00,000000000,1,01,201402,0,0,02,0,02,0,0,0,K20,
010693259,MILTON CEMETARY ASSOCIATION,% DOUGLAS FORD,2205 W STODDARD LN,MORGAN,UT,84050-9651,0000,13,3,2000,200208,1,00,000000000,1,01,201404,0,0,02,0,04,0,0,0,Y50,
010703942,SARATOGA SPRINGS FIREFIGHTERS ASSOCIATION,% DARREN WRIGHT,995 W 1200 N,SARATOGA SPGS,UT,84045-5418,0000,03,3,1000,200301,1,16,000000000,1,01,201312,0,0,02,0,12,0,0,0,M24,
