EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010582384,ST STEPHEN BAPTIST CHURCH,% RUSSELL E MEDLEY,PO BOX 4095,MORGANTOWN,WV,26504-4095,0000,03,3,7000,200502,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010607464,WESTMORELAND APARTMENTS INC,,3609 HUGHES ST,HUNTINGTON,WV,25704-1915,0000,03,3,1000,200207,1,15,000000000,1,01,201309,6,3,01,0,09,2657012,64777,64777,L22,
010614518,DESTINY BAPTIST CHURCH,,115 N RALEIGH ST,MARTINSBURG,WV,25401-2767,0000,03,3,7000,200707,1,10,029002000,5,01,,0,0,06,0,12,,,,,
010621770,HANDS OF HOPE MINISTRIES INC,% JOSEPH T WEBB III,PO BOX 480,IAEGER,WV,24844-0480,0000,03,3,1000,200210,1,15,000000000,1,01,201312,4,4,01,0,12,274690,343378,216329,P28,
010632649,WAYNE FAMILY RESOURCE NETWORK INC,,PO BOX 250,WAYNE,WV,25570-0250,0000,03,3,1000,200208,1,15,000000000,1,01,201306,2,3,01,0,06,18178,69792,69792,P20,
010645649,GOLD WING ROAD RIDERS ASSOCIATION,% ROBERT A ELLIOTT,724 MAIN ST,MAN,WV,25635-1319,7196,04,9,1000,198302,1,00,317000000,1,01,201312,0,0,02,0,12,0,0,0,,WV-K
010656622,HUNTINGTON JEWISH BENEVOLENT ASSOCIATION INC,,PO BOX 2674,HUNTINGTON,WV,25726-2674,0000,03,3,1000,200207,1,15,000000000,1,01,201112,0,0,02,0,12,0,0,0,T30,
010659623,MORRIS CREEK WATERSHED ASSOCIATION INC,% WANDA KING,PO BOX 927,MONTGOMERY,WV,25136-0927,0000,03,3,1000,200302,1,15,000000000,1,01,201312,3,2,02,0,12,32703,23325,23325,C30,
010666085,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,% RANDY KING,42 MCCUTCHAN RD,WALKERSVILLE,WV,26447-8532,0239,04,9,3000,000000,2,00,911520000,5,01,201306,0,0,02,0,06,0,0,0,,65134 IRELAND
010687795,PROPERTY MANAGEMENT SERVICE INC,% ORAETTA HUBBARD,307 FEDERAL STREET,BLUEFIELD,WV,24701-3063,0000,03,3,1000,200208,1,17,000000000,1,01,201308,5,4,01,0,08,661438,436886,436886,L192,
