EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010631747,AMERICAN LEGION,% JULIE RUST,1320 HUGUR AVE,CHEYENNE,WY,82001-4917,0925,19,9,1000,194603,0,00,907908000,5,01,201306,0,0,02,0,06,0,0,0,,17 E A BLACKMORE MEMORIAL POST
010639604,BURNS ELEMENTARY PARENT ORGANIZATION,% LISA PEREZ,PO BOX 304,BURNS,WY,82053-0304,0000,03,3,1000,200207,1,15,000000000,5,01,201312,0,0,02,0,12,0,0,0,B94,
010699262,WILLOW CREEK REFUGE & PRESERVE,% DAVID HIGMAN,PO BOX 398,DUBOIS,WY,82513-0398,0000,03,3,1000,200404,1,03,000000000,1,01,201306,6,4,00,1,06,2128835,118982,,D30,
010825922,BACK COUNTRY HORSEMEN OF AMERICA,% SHOSHONE BACK COUNTRY HORSEMEN,PO BOX 465,POWELL,WY,82435-0465,4257,04,9,3000,200312,2,00,125000000,1,01,201312,0,0,02,0,12,0,0,0,C34,SHOSHONE CHAPTER
010894491,DEVILS TOWER SACRED TO MANY PEOPLE INC,% FRANK P SANDERS JR,PO BOX 12,DEVILS TOWER,WY,82714-0012,0000,03,3,1200,200807,1,15,000000000,1,01,201312,1,1,02,0,12,6053,2368,2368,S99,
010960453,UNIVERSITY OF WYOMING,% COLLEEN CAMPBELL,2011 FAIRGROUNDS RD,CASPER,WY,82604-2901,5931,03,9,5000,201305,1,15,000000000,5,01,,0,0,01,0,06,,,,O52,4-WINDS 4-H
010960733,UNIVERSITY OF WYOMING,% COLLEEN CAMPBELL,2011 FAIRGROUNDS RD,CASPER,WY,82604-2901,5931,03,9,5000,201305,1,15,000000000,5,01,,0,0,01,0,06,,,,O52,CITY DUDES
020601640,JACKSON BRONC BACKERS INC,,PO BOX 6350,JACKSON,WY,83002-6350,0000,03,3,1000,200402,1,16,000000000,1,01,201307,2,3,01,0,07,21985,86330,58765,B11,
020613686,YOUTH EMERGENCY SERVICE FOUNDATION,% DAVID JONES,PO BOX 2151,GILLETTE,WY,82717-2151,0000,03,3,1000,200312,1,15,000000000,1,01,201212,5,5,01,0,12,728590,555354,528681,T11,
020645843,CYCLE WYOMING,% AMBER TRAVSKY,1116 ALBIN ST,LARAMIE,WY,82072-1819,0000,03,3,1000,200308,1,16,000000000,1,01,201312,4,4,01,0,12,138662,104100,17039,M42,
020659425,JOHN WELCH MINISTRIES,% JOHN H WELCH,404 S 30TH ST APT 202,LARAMIE,WY,82070-5158,0000,03,3,7000,200308,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,X20,
020689308,FIELD SUPPORT INC,% TRIPLE PLAY,PO BOX 408,CHEYENNE,WY,82003-0408,0000,03,3,1200,200308,1,16,000000000,1,01,201312,0,0,02,0,12,0,0,0,M23,
020713392,FRIENDS OF THE ALPINE LIBRARY INC,% BRYANT S BROWN,PO BOX 3221,ALPINE,WY,83128-0221,0000,03,3,1200,200403,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,B11,
020750838,KNIGHTS OF COLUMBUS,% KNIGHTS OF COLUMBUS 2872,PO BOX 344,LARAMIE,WY,82073-0344,0188,08,9,1000,194010,1,00,036029265,5,01,201312,0,0,02,0,12,0,0,0,,2872 ASSEMBLY
020755187,SHERIDAN ARTISTS GUILD ET AL,% EDRE MAIER,PO BOX 1007,SHERIDAN,WY,82801-1007,0000,03,3,2000,200604,1,16,000000000,1,01,201312,3,4,01,0,12,83692,127540,113986,A25,
020770855,UNITED STATES BOWLING CONGRESS INC,% PATRICIA L KERR,414 ROAD 151,CARPENTER,WY,82054-9527,4348,03,9,1000,200409,1,16,000000000,1,01,201307,0,0,02,0,07,0,0,0,N70,82440 CHEYENNE USBC WBA
020778105,UNITED STATES BOWLING CONGRESS INC,% ANGIE KOENIG,PO BOX 914,DOUGLAS,WY,82633-0914,4348,03,9,1000,200409,1,16,000000000,1,01,201307,3,3,02,0,07,53325,43888,43888,N70,82413 WYOMING STATE USBC WBA
020807256,JACKSON HOLE COWBOY JUBILEE,% DAVID MCCANN,PO BOX 1455,JACKSON,WY,83001-1455,0000,03,3,1000,200712,1,15,000000000,1,01,201112,1,1,02,0,12,626,425,425,A68,
030374417,YELLOWSTONE ASSOCIATION,,PO BOX 117,YELWSTN NL PK,WY,82190-0117,0000,03,3,1000,200205,1,16,000000000,1,01,201309,8,7,01,0,09,16616581,8019638,6124389,C60,
030406681,LITTLE EXPLORERS PRESCHOOL,,PO BOX 1621,CODY,WY,82414-1621,0000,03,3,1200,200310,1,11,000000000,1,01,201306,2,3,01,0,06,17851,62591,62591,B21,
030519741,GREYBULL ARTS COUNCIL,% DAVIFD HALLER,PO BOX 742,GREYBULL,WY,82426-0742,0000,03,3,1000,200309,1,15,000000000,1,01,201206,0,0,02,0,06,0,0,0,A26,
030563548,LITTLE SNAKE RIVER VALLEY AMBULANCE FUND,,PO BOX 275,BAGGS,WY,82321-0275,0000,03,3,1000,201005,1,15,000000000,1,01,201212,4,4,01,0,12,211406,132736,132736,M23,
043646935,AMERICAN SEWING GUILD INC,% JULIE HOUCHIN,1801 W HILL RD,LARAMIE,WY,82072-1957,3534,03,9,1000,000000,1,15,281995000,5,01,,0,0,02,0,12,,,,,LARAMIE CHAPTER
043714399,HOT SPRINGS GREATER LEARNING FOUNDATION,,PO BOX 1362,THERMOPOLIS,WY,82443-1362,0000,03,3,1200,200304,1,15,000000000,1,01,201312,3,2,02,0,12,66017,11977,11977,A52,
043750127,LARIMER FAMILY FOUNDATION,% RONALD M COOPERMAN,PO BOX 610,TETON VILLAGE,WY,83025-0610,0000,03,3,1000,200310,1,04,000000000,1,01,201312,5,3,00,1,12,755293,44667,,T22,
043831012,BLACK MOUNTAIN NORDIC CLUB,% CURTIS SCHWAMB,PO BOX 593,SHERIDAN,WY,82801-0593,0000,04,3,3000,200702,2,00,000000000,1,01,201312,0,0,02,0,12,0,0,0,S80,
043848088,WYOMING SPORTSMEN FOR HABITAT,% ROBERT WHARFF,PO BOX 336,CODY,WY,82414-0336,0000,03,3,1000,200904,1,15,000000000,1,01,201312,3,5,01,0,12,58796,777070,111619,D30,
050539705,PAINTED PAST ENTERPRISES,% DONNA FISHER,330 S CENTER ST STE 414,CASPER,WY,82601-2876,0000,03,3,2000,200409,1,15,000000000,1,01,201212,1,3,01,0,12,4359,52600,52600,A84,
050541610,LARAMIE BICYCLING NETWORK,% CATHERINE MARTIN,PO BOX 2334,LARAMIE,WY,82073-2334,0000,03,3,2000,200302,1,16,000000000,1,01,201312,2,3,01,0,12,14002,60475,60475,M42,
050607863,GRACE COMMUNION INTERNATIONAL,% SHANNON FERTIG,8806 BLUE MESA RD,CHEYENNE,WY,82009-8402,4128,03,9,7000,195906,1,10,001000000,1,01,,0,0,06,0,06,,,,,
050627435,UNITED STATES BOWLING CONGRESS INC,% GLADYS SCHWAB,653 HWY 14,POWELL,WY,82435-0000,4348,03,9,1000,200409,1,16,000000000,1,01,201207,1,1,02,0,07,3749,190,190,N70,82425 POWELL USBC WBA
061468635,NINER FOUNDATION INC,% RICHARD T NINER,PO BOX 6754,JACKSON,WY,83002-6754,0000,03,3,1000,199704,1,04,602000000,1,01,201312,7,3,00,1,12,8212290,56447,,T30J,
061469527,TYRRELL FOUNDATION,% DAWSON SAMBURG CAPITAL MGMT CORP,6800 ELLEN CREEK RD 667,TETON VILLAGE,WY,83025-0000,0000,03,3,1000,199703,1,04,602000000,1,01,201312,8,3,00,1,12,17398109,73309,,T20J,
061482552,FREE LUNCH FOUNDATION,% DAVID H WALSH TTEE,PO BOX 11450,JACKSON,WY,83002-1450,0000,03,3,1000,199708,1,04,602000000,2,01,201312,5,5,00,1,12,551348,502754,,T22Z,
061500503,JACK RUSSELL TERRIER RESEARCH FOUNDATION INC,% ERIN SCHWARTZKOPF,PO BOX 548,DOUGLAS,WY,82633-0548,0000,03,3,1800,199805,1,15,994602199,1,01,201112,0,0,02,0,12,0,0,0,J20,
061529842,THE CARINE & JACQUES DUBOIS FAMILY FOUNDATION,% JACQUES DUBOIS,PO BOX 10100,JACKSON,WY,83002-0100,0000,03,3,1000,199902,1,04,000000000,1,01,201306,6,6,00,1,06,4702108,1354548,,T20,
061566679,WALTER G SCHENDEL III FOUNDATION,% WALTER G SCHENDEL III,PO BOX 1429,WILSON,WY,83014-1429,0000,03,3,1000,200103,1,04,000000000,1,01,201311,4,4,00,1,11,357504,325022,,T12,
061615383,FREEBORN FOUNDATION INC,% CYNTHIA C GRAY,585 ROCK CREEK RD,BUFFALO,WY,82834-9333,0000,03,3,1000,200107,1,04,000000000,1,01,201307,2,1,00,1,07,18176,238,,T30,
061665786,NORTH BIG HORN HOSPITAL FOUNDATION,% NORTH BIG HORN HOSPITAL DISTRICT,1115 LANE 12,LOVELL,WY,82431-9537,0000,03,3,1000,200303,1,17,000000000,1,01,201306,4,3,01,0,06,128747,57335,37864,E112,
061673924,PLATTE VALLEY CHRISTIAN CENTER ASSEMBLY OF GOD,% GENE M SMITH,PO BOX 146,SARATOGA,WY,82331-0146,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,12,,,,,
061707774,WYOMING BANKERS ASSOCIATION EDUCATIONAL FOUNDATION,% DAVID R JOHNSON,PO BOX 2190,CHEYENNE,WY,82003-2190,0000,03,3,1000,200503,1,04,000000000,1,01,201312,1,1,00,1,12,1,1,,T21,
061740023,LITTLE LEAGUE BASEBALL INC,% ED TALIAFERRO,PO BOX 517,GREEN RIVER,WY,82935-0517,3158,03,9,1000,196701,1,15,321059000,1,01,201309,0,0,02,0,09,0,0,0,N630,4500115 GREEN RIVER LL
061741611,DISABLED SPORTS USA,% GILBERT HUNDLEY,PO BOX 2894,JACKSON,WY,83001-2894,2599,03,9,2000,197501,1,16,059317318,5,01,201312,4,4,01,0,12,266641,160940,160440,,TETON ADAPTIVE SPORTS INC
061765158,UNITED STATES BOWLING CONGRESS INC,% JODY POVSCHE,1125 4TH WEST AVE,KEMMERER,WY,83101-3459,4348,03,9,1000,200409,1,16,000000000,1,01,201107,0,0,02,0,07,0,0,0,N70,80103 GR BRIDGER VALLEY USBC
061772510,PEARLS OF THE PRAIRIE INC,% KRIS JONES,PO BOX 3916,GILLETTE,WY,82717-3916,0000,04,3,3000,201404,2,00,000000000,1,01,201006,0,0,01,0,06,0,0,0,A20,
061820430,THE TROOP 101 FOUNDATION,% RICK WALSH,PO BOX 4001,CHEYENNE,WY,82003-4001,0000,03,3,1200,200812,1,15,000000000,1,01,201212,0,0,02,0,12,0,0,0,O114,
061820618,MILITARY ORDER OF THE PURPLE HEART OF THE USA,% DEPARTMENT COMMANDER,1969 JEFFERSON ST,LARAMIE,WY,82070-6323,1495,19,9,1000,196008,2,00,908907000,5,01,201312,0,0,02,0,12,0,0,0,,DEPARTMENT OF WYOMING
061820620,MILITARY ORDER OF THE PURPLE HEART OF THE USA,% BARRY GASDEK,1969 JEFFERSON ST,LARAMIE,WY,82070-6323,1495,19,9,1000,196008,2,00,908907000,5,01,201312,0,0,02,0,12,0,0,0,,707 CHAPTER
